estimand,dataset,scenario,model,metric,n_comparisons,mean,std,min,max
partition,iscx_url2016_binary,s1,lr,direction_agreement_all,45,0.9263492063492061,0.03472066580721146,0.8571428571428571,1.0
partition,iscx_url2016_binary,s1,lr,direction_agreement_top20_union,45,0.9909007256833343,0.018414784421098857,0.9523809523809523,1.0
partition,iscx_url2016_binary,s1,rf,top10_jaccard,45,0.8552188552188552,0.11627135791132664,0.6666666666666666,1.0
partition,iscx_url2016_binary,s1,rf,top15_jaccard,45,0.8954248366013072,0.06288003538558659,0.7647058823529411,1.0
partition,iscx_url2016_binary,s1,rf,top20_jaccard,45,0.932852332852333,0.054793995184914644,0.8181818181818182,1.0
partition,iscx_url2016_binary,s1,rf,rank_spearman,45,0.9840438555420884,0.0060805649618764415,0.9716366716172894,0.9932773109243699
partition,iscx_url2016_binary,s1,rf,direction_agreement_all,45,0.9276190476190472,0.04333071682315173,0.8571428571428571,1.0
partition,iscx_url2016_binary,s1,rf,direction_agreement_top20_union,45,0.9827994227994227,0.023432972809454444,0.95,1.0
partition,iscx_url2016_binary,s1,xgb,top10_jaccard,45,0.828956228956229,0.11559930975374383,0.6666666666666666,1.0
partition,iscx_url2016_binary,s1,xgb,top15_jaccard,45,0.8034313725490196,0.07929800559873287,0.6666666666666666,1.0
partition,iscx_url2016_binary,s1,xgb,top20_jaccard,45,0.8542526716439762,0.0680280119763553,0.7391304347826086,1.0
partition,iscx_url2016_binary,s1,xgb,rank_spearman,45,0.9670794304093703,0.015030999822530353,0.9291230357951739,0.9869476114368071
partition,iscx_url2016_binary,s1,xgb,direction_agreement_all,45,0.9180952380952382,0.03634507875264791,0.8285714285714286,1.0
partition,iscx_url2016_binary,s1,xgb,direction_agreement_top20_union,45,0.9725963569441829,0.03245621182408415,0.8636363636363636,1.0
partition,iscx_url2016_binary,s2,lr,top10_jaccard,45,0.769023569023569,0.08888680187883055,0.6666666666666666,1.0
partition,iscx_url2016_binary,s2,lr,top15_jaccard,45,0.8349128540305012,0.07756518752607143,0.6666666666666666,1.0
partition,iscx_url2016_binary,s2,lr,top20_jaccard,45,0.8466486814312902,0.06682860458185001,0.7391304347826086,1.0
partition,iscx_url2016_binary,s2,lr,rank_spearman,45,0.949683471089736,0.020269438708593206,0.900560224089636,0.9910364145658265
partition,iscx_url2016_binary,s2,lr,direction_agreement_all,45,0.926984126984127,0.038311076865519635,0.8285714285714286,1.0
partition,iscx_url2016_binary,s2,lr,direction_agreement_top20_union,45,0.9980676328502415,0.009061264223477939,0.9565217391304348,1.0
partition,iscx_url2016_binary,s2,rf,top10_jaccard,45,0.8303030303030302,0.15088021231201196,0.6666666666666666,1.0
partition,iscx_url2016_binary,s2,rf,top15_jaccard,45,0.8160130718954248,0.1093260646257649,0.6666666666666666,1.0
partition,iscx_url2016_binary,s2,rf,top20_jaccard,45,0.9188071188071188,0.06058606767801469,0.8181818181818182,1.0
partition,iscx_url2016_binary,s2,rf,rank_spearman,45,0.9485813600574333,0.03537927765293748,0.8890756302521009,0.9913165266106445
partition,iscx_url2016_binary,s2,rf,direction_agreement_all,45,0.9282539682539681,0.03882419450222568,0.8285714285714286,1.0
partition,iscx_url2016_binary,s2,rf,direction_agreement_top20_union,45,0.9833573833573832,0.024652453127610052,0.9090909090909091,1.0
partition,iscx_url2016_binary,s2,xgb,top10_jaccard,45,0.732918932918933,0.12495889087600162,0.5384615384615384,1.0
partition,iscx_url2016_binary,s2,xgb,top15_jaccard,45,0.7885076252723312,0.09734971194309493,0.6666666666666666,1.0
partition,iscx_url2016_binary,s2,xgb,top20_jaccard,45,0.8864838864838867,0.05696076739109182,0.8181818181818182,1.0
partition,iscx_url2016_binary,s2,xgb,rank_spearman,45,0.9635992062805501,0.019699903978791095,0.918809127120288,0.9921524663677129
partition,iscx_url2016_binary,s2,xgb,direction_agreement_all,45,0.8825396825396825,0.04401982274938929,0.8,0.9714285714285714
partition,iscx_url2016_binary,s2,xgb,direction_agreement_top20_union,45,0.9645358345358345,0.030092488199449992,0.9047619047619048,1.0
partition,iscx_url2016_binary,s3,lr,top10_jaccard,45,0.8505050505050509,0.07029923044732375,0.8181818181818182,1.0
partition,iscx_url2016_binary,s3,lr,top15_jaccard,45,0.8230936819172113,0.10720226762429519,0.6666666666666666,1.0
partition,iscx_url2016_binary,s3,lr,top20_jaccard,45,0.8596649727084511,0.06313991992973146,0.7391304347826086,1.0
partition,iscx_url2016_binary,s3,lr,rank_spearman,45,0.954986865207905,0.019706644166167693,0.9207282913165266,0.9910364145658265
partition,iscx_url2016_binary,s3,lr,direction_agreement_all,45,0.9320634920634917,0.0391414773142374,0.8285714285714286,1.0
partition,iscx_url2016_binary,s3,lr,direction_agreement_top20_union,45,0.9959595959595958,0.013081774182461437,0.9545454545454546,1.0
partition,iscx_url2016_binary,s3,rf,top10_jaccard,45,0.816161616161616,0.12976054670980539,0.6666666666666666,1.0
partition,iscx_url2016_binary,s3,rf,top15_jaccard,45,0.8715686274509804,0.09163192693926107,0.7647058823529411,1.0
partition,iscx_url2016_binary,s3,rf,top20_jaccard,45,0.8593554593554595,0.059044236174738876,0.8181818181818182,1.0
partition,iscx_url2016_binary,s3,rf,rank_spearman,45,0.9643277014753727,0.0269772846769841,0.9190022421524664,0.9969170403587443
partition,iscx_url2016_binary,s3,rf,direction_agreement_all,45,0.9549206349206348,0.02757273322321302,0.8857142857142857,1.0
partition,iscx_url2016_binary,s3,rf,direction_agreement_top20_union,45,0.9906637806637807,0.01889617264253306,0.95,1.0
partition,iscx_url2016_binary,s3,xgb,top10_jaccard,45,0.7904169904169903,0.12388831556598773,0.5384615384615384,1.0
partition,iscx_url2016_binary,s3,xgb,top15_jaccard,45,0.7682031877078316,0.07920775483713711,0.5789473684210527,0.875
partition,iscx_url2016_binary,s3,xgb,top20_jaccard,45,0.8505719723111028,0.06969347911011572,0.7391304347826086,1.0
partition,iscx_url2016_binary,s3,xgb,rank_spearman,45,0.9533575397027775,0.021935810763663115,0.9142458391495111,0.9918636998895377
partition,iscx_url2016_binary,s3,xgb,direction_agreement_all,45,0.8907936507936507,0.052148243411143394,0.7714285714285715,0.9714285714285714
partition,iscx_url2016_binary,s3,xgb,direction_agreement_top20_union,45,0.9529397494614885,0.05039672968840518,0.85,1.0
partition,phiusiil,s0,lr,top10_jaccard,45,0.7973063973063975,0.09109765160520458,0.6666666666666666,1.0
partition,phiusiil,s0,lr,top15_jaccard,45,0.8324074074074075,0.07669986127678802,0.6666666666666666,1.0
partition,phiusiil,s0,lr,top20_jaccard,45,0.9386243386243385,0.04610383964840602,0.9047619047619048,1.0
partition,phiusiil,s0,lr,rank_spearman,45,0.9581512605042015,0.013931737996529778,0.9358543417366947,0.9890756302521008
partition,phiusiil,s0,lr,direction_agreement_all,45,0.9326984126984125,0.03507508804964535,0.8571428571428571,1.0
partition,phiusiil,s0,lr,direction_agreement_top20_union,45,0.9947089947089947,0.015134326813422118,0.9523809523809523,1.0
partition,phiusiil,s0,rf,top10_jaccard,45,0.8558922558922563,0.088620305473767,0.6666666666666666,1.0
partition,phiusiil,s0,rf,top15_jaccard,45,0.8985294117647059,0.06928952346699853,0.7647058823529411,1.0
partition,phiusiil,s0,rf,top20_jaccard,45,0.8964886964886966,0.058458480082742216,0.8181818181818182,1.0
partition,phiusiil,s0,rf,rank_spearman,45,0.9893569436685273,0.004361244580996413,0.9739349775784752,0.9957959641255606
partition,phiusiil,s0,rf,direction_agreement_all,45,0.9015873015873014,0.046213008294658076,0.8285714285714286,1.0
partition,phiusiil,s0,rf,direction_agreement_top20_union,45,0.9334776334776335,0.05012034663918583,0.85,1.0
partition,phiusiil,s0,xgb,top10_jaccard,45,0.8154882154882156,0.09313667123337628,0.6666666666666666,1.0
partition,phiusiil,s0,xgb,top15_jaccard,45,0.9093137254901962,0.07036995551061255,0.7647058823529411,1.0
partition,phiusiil,s0,xgb,top20_jaccard,45,0.9201539201539202,0.04827246199255306,0.8181818181818182,1.0
partition,phiusiil,s0,xgb,rank_spearman,45,0.9871245941490728,0.004460326737067457,0.9779133823927462,0.9959537572254337
partition,phiusiil,s0,xgb,direction_agreement_all,45,0.9809523809523809,0.017229219690157928,0.9428571428571428,1.0
partition,phiusiil,s0,xgb,direction_agreement_top20_union,45,0.9906204906204904,0.018976603690343086,0.9523809523809523,1.0
partition,phiusiil,s1,lr,top10_jaccard,45,0.8107744107744109,0.08124879819066749,0.6666666666666666,1.0
partition,phiusiil,s1,lr,top15_jaccard,45,0.7933235867446393,0.09734761922902418,0.5789473684210527,1.0
partition,phiusiil,s1,lr,top20_jaccard,45,0.9082251082251083,0.05319249306269879,0.8181818181818182,1.0
partition,phiusiil,s1,lr,rank_spearman,45,0.9462745098039214,0.03141348188198343,0.8459383753501402,0.9801120448179272
partition,phiusiil,s1,lr,direction_agreement_all,45,0.944126984126984,0.025811903853456747,0.8857142857142857,1.0
partition,phiusiil,s1,lr,direction_agreement_top20_union,45,0.9936507936507937,0.016370277403626888,0.9523809523809523,1.0
partition,phiusiil,s1,rf,top10_jaccard,45,0.8760942760942763,0.09815524889246416,0.6666666666666666,1.0
partition,phiusiil,s1,rf,top15_jaccard,45,0.8723856209150327,0.07047735894950642,0.7647058823529411,1.0
partition,phiusiil,s1,rf,top20_jaccard,45,0.8886002886002888,0.05937353575758516,0.8181818181818182,1.0
partition,phiusiil,s1,rf,rank_spearman,45,0.9861030099364674,0.004981063405558376,0.9753363228699551,0.9941168230844655
partition,phiusiil,s1,rf,direction_agreement_all,45,0.9003174603174604,0.03882419450222568,0.8285714285714286,1.0
partition,phiusiil,s1,rf,direction_agreement_top20_union,45,0.9085906685906683,0.050027800762188185,0.85,1.0
partition,phiusiil,s1,xgb,top10_jaccard,45,0.7946127946127948,0.09985566194183448,0.6666666666666666,1.0
partition,phiusiil,s1,xgb,top15_jaccard,45,0.9111111111111111,0.05729597091269404,0.875,1.0
partition,phiusiil,s1,xgb,top20_jaccard,45,0.9326599326599326,0.05135065422398517,0.8181818181818182,1.0
partition,phiusiil,s1,xgb,rank_spearman,45,0.989112977249208,0.0037775333813976635,0.9805042627111256,0.9974193548387096
partition,phiusiil,s1,xgb,direction_agreement_all,45,0.9409523809523809,0.037747329090046654,0.8285714285714286,1.0
partition,phiusiil,s1,xgb,direction_agreement_top20_union,45,0.9687830687830687,0.0440848158790534,0.8571428571428571,1.0
partition,phiusiil,s2,lr,top10_jaccard,45,0.878787878787879,0.08667841720414474,0.8181818181818182,1.0
partition,phiusiil,s2,lr,top15_jaccard,45,0.7865468409586056,0.0767702003691098,0.6666666666666666,1.0
partition,phiusiil,s2,lr,top20_jaccard,45,0.8841750841750844,0.0506962143692541,0.8181818181818182,1.0
partition,phiusiil,s2,lr,rank_spearman,45,0.9469405539993777,0.025027597515949223,0.873109243697479,0.9879551820728292
partition,phiusiil,s2,lr,direction_agreement_all,45,0.9650793650793648,0.023504540191338928,0.9142857142857143,1.0
partition,phiusiil,s2,lr,direction_agreement_top20_union,45,0.9812890812890812,0.023184874095201112,0.9523809523809523,1.0
partition,phiusiil,s2,rf,top10_jaccard,45,0.7845117845117844,0.10461873549036634,0.6666666666666666,1.0
partition,phiusiil,s2,rf,top15_jaccard,45,0.911764705882353,0.06706181389335891,0.7647058823529411,1.0
partition,phiusiil,s2,rf,top20_jaccard,45,0.9338143338143338,0.06948890004408545,0.8181818181818182,1.0
partition,phiusiil,s2,rf,rank_spearman,45,0.9884916074303959,0.004241833097251038,0.9770308123249302,0.9948875996104376
partition,phiusiil,s2,rf,direction_agreement_all,45,0.9041269841269839,0.03955013987603033,0.8285714285714286,1.0
partition,phiusiil,s2,rf,direction_agreement_top20_union,45,0.9124867724867723,0.05128732170908382,0.75,1.0
partition,phiusiil,s2,xgb,top10_jaccard,45,0.8828282828282832,0.08801642114695693,0.8181818181818182,1.0
partition,phiusiil,s2,xgb,top15_jaccard,45,0.9058823529411765,0.05968618784265271,0.7647058823529411,1.0
partition,phiusiil,s2,xgb,top20_jaccard,45,0.942857142857143,0.0471841613625583,0.9047619047619048,1.0
partition,phiusiil,s2,xgb,rank_spearman,45,0.9935172677912865,0.004027190284870223,0.982947976878613,0.9988439306358382
partition,phiusiil,s2,xgb,direction_agreement_all,45,0.9765079365079363,0.01856532256154089,0.9428571428571428,1.0
partition,phiusiil,s2,xgb,direction_agreement_top20_union,45,0.977248677248677,0.02461073756122421,0.95,1.0
partition,phiusiil,s3,lr,top10_jaccard,45,0.7346283346283347,0.13657398478778918,0.5384615384615384,1.0
partition,phiusiil,s3,lr,top15_jaccard,45,0.8729847494553377,0.07768502273370925,0.6666666666666666,1.0
partition,phiusiil,s3,lr,top20_jaccard,45,0.9326599326599326,0.05135065422398517,0.8181818181818182,1.0
partition,phiusiil,s3,lr,rank_spearman,45,0.9640336134453785,0.018975713976763658,0.9016806722689076,0.9943977591036416
partition,phiusiil,s3,lr,direction_agreement_all,45,0.911111111111111,0.05523510963718294,0.7428571428571429,1.0
partition,phiusiil,s3,lr,direction_agreement_top20_union,45,0.9661375661375661,0.06227182403187063,0.8095238095238095,1.0
partition,phiusiil,s3,rf,top10_jaccard,45,0.890909090909091,0.09007885351033858,0.8181818181818182,1.0
partition,phiusiil,s3,rf,top15_jaccard,45,0.9312091503267974,0.07165312570964935,0.7647058823529411,1.0
partition,phiusiil,s3,rf,top20_jaccard,45,0.9343915343915343,0.044588511092754086,0.9047619047619048,1.0
partition,phiusiil,s3,rf,rank_spearman,45,0.9892446933932424,0.004719237400898331,0.9795403587443946,0.9974775784753364
partition,phiusiil,s3,rf,direction_agreement_all,45,0.8717460317460316,0.06854496843979647,0.7142857142857143,1.0
partition,phiusiil,s3,rf,direction_agreement_top20_union,45,0.8998412698412697,0.05861294414369156,0.8095238095238095,1.0
partition,phiusiil,s3,xgb,top10_jaccard,45,0.7735819735819737,0.09911632622383512,0.5384615384615384,1.0
partition,phiusiil,s3,xgb,top15_jaccard,45,0.9555555555555556,0.06051128953853291,0.875,1.0
partition,phiusiil,s3,xgb,top20_jaccard,45,0.9099567099567101,0.04761546979511085,0.8181818181818182,1.0
partition,phiusiil,s3,xgb,rank_spearman,45,0.9877341519632485,0.005222026194291526,0.9748554913294799,0.9959537572254337
partition,phiusiil,s3,xgb,direction_agreement_all,45,0.9733333333333333,0.021450205529415674,0.9142857142857143,1.0
partition,phiusiil,s3,xgb,direction_agreement_top20_union,45,0.9726310726310724,0.02575234815922494,0.9047619047619048,1.0
regime,iscx_url2016_binary,s0_vs_s1,lr,top10_jaccard,10,0.8181818181818181,1.1702778228589004e-16,0.8181818181818182,0.8181818181818182
regime,iscx_url2016_binary,s0_vs_s1,lr,top15_jaccard,10,0.8308823529411764,0.05695563744422674,0.7647058823529411,0.875
regime,iscx_url2016_binary,s0_vs_s1,lr,top20_jaccard,10,0.8536796536796537,0.06275978079930036,0.8181818181818182,1.0
regime,iscx_url2016_binary,s0_vs_s1,lr,rank_spearman,10,0.9485501442934646,0.020729271438289572,0.9100840336134455,0.972829131652661
regime,iscx_url2016_binary,s0_vs_s1,lr,direction_agreement_all,10,0.8857142857142858,0.04665694748158431,0.8285714285714286,0.9428571428571428
regime,iscx_url2016_binary,s0_vs_s1,lr,direction_agreement_top20_union,10,0.9861471861471862,0.02231292745546772,0.9523809523809523,1.0
regime,iscx_url2016_binary,s0_vs_s1,rf,top10_jaccard,10,0.8727272727272728,0.08782652573448142,0.8181818181818182,1.0
regime,iscx_url2016_binary,s0_vs_s1,rf,top15_jaccard,10,0.9375,0.06588078458684124,0.875,1.0
regime,iscx_url2016_binary,s0_vs_s1,rf,top20_jaccard,10,0.9619047619047618,0.049180740904221164,0.9047619047619048,1.0
regime,iscx_url2016_binary,s0_vs_s1,rf,rank_spearman,10,0.9848525500476033,0.006021672897366307,0.9727571982675616,0.9943977591036416
regime,iscx_url2016_binary,s0_vs_s1,rf,direction_agreement_all,10,0.9200000000000002,0.04426266681379904,0.8285714285714286,0.9714285714285714
regime,iscx_url2016_binary,s0_vs_s1,rf,direction_agreement_top20_union,10,0.9902380952380951,0.02058755246998682,0.95,1.0
regime,iscx_url2016_binary,s0_vs_s1,xgb,top10_jaccard,10,0.9121212121212121,0.12159031907720533,0.6666666666666666,1.0
regime,iscx_url2016_binary,s0_vs_s1,xgb,top15_jaccard,10,0.7696078431372549,0.09824325173566939,0.6666666666666666,0.875
regime,iscx_url2016_binary,s0_vs_s1,xgb,top20_jaccard,10,0.8718614718614719,0.07622545001659647,0.8181818181818182,1.0
regime,iscx_url2016_binary,s0_vs_s1,xgb,rank_spearman,10,0.9640518349219089,0.014658365047506464,0.9335203366058907,0.9826044347986311
regime,iscx_url2016_binary,s0_vs_s1,xgb,direction_agreement_all,10,0.877142857142857,0.042698117659923596,0.8285714285714286,0.9714285714285714
regime,iscx_url2016_binary,s0_vs_s1,xgb,direction_agreement_top20_union,10,0.9495670995670995,0.0588370456627236,0.8181818181818182,1.0
regime,iscx_url2016_binary,s0_vs_s2,lr,top10_jaccard,10,0.5659340659340659,0.0773434643426125,0.42857142857142855,0.6666666666666666
regime,iscx_url2016_binary,s0_vs_s2,lr,top15_jaccard,10,0.6599587203302375,0.06819696640234608,0.5789473684210527,0.7647058823529411
regime,iscx_url2016_binary,s0_vs_s2,lr,top20_jaccard,10,0.6477591973244147,0.05477379493807162,0.5384615384615384,0.7391304347826086
regime,iscx_url2016_binary,s0_vs_s2,lr,rank_spearman,10,0.8006499978567678,0.04510778935052265,0.7128851540616248,0.8518207282913165
regime,iscx_url2016_binary,s0_vs_s2,lr,direction_agreement_all,10,0.8657142857142859,0.03821410028140737,0.8,0.9428571428571428
regime,iscx_url2016_binary,s0_vs_s2,lr,direction_agreement_top20_union,10,0.9307675585284281,0.053289820015860925,0.8333333333333334,1.0
regime,iscx_url2016_binary,s0_vs_s2,rf,top10_jaccard,10,0.6993006993006994,0.09107827979544744,0.5384615384615384,0.8181818181818182
regime,iscx_url2016_binary,s0_vs_s2,rf,top15_jaccard,10,0.8017156862745096,0.10402126851090912,0.6666666666666666,1.0
regime,iscx_url2016_binary,s0_vs_s2,rf,top20_jaccard,10,0.8961038961038963,0.02737902736076517,0.8181818181818182,0.9047619047619048
regime,iscx_url2016_binary,s0_vs_s2,rf,rank_spearman,10,0.9465192015104964,0.012679683578721743,0.9254901960784314,0.9683473389355742
regime,iscx_url2016_binary,s0_vs_s2,rf,direction_agreement_all,10,0.9114285714285714,0.03144299813184606,0.8571428571428571,0.9714285714285714
regime,iscx_url2016_binary,s0_vs_s2,rf,direction_agreement_top20_union,10,0.9859307359307359,0.02266132579298617,0.9523809523809523,1.0
regime,iscx_url2016_binary,s0_vs_s2,xgb,top10_jaccard,10,0.7599067599067599,0.10010954721620147,0.5384615384615384,0.8181818181818182
regime,iscx_url2016_binary,s0_vs_s2,xgb,top15_jaccard,10,0.7990196078431373,0.07187685440497639,0.6666666666666666,0.875
regime,iscx_url2016_binary,s0_vs_s2,xgb,top20_jaccard,10,0.8528138528138529,0.04470976445838286,0.8181818181818182,0.9047619047619048
regime,iscx_url2016_binary,s0_vs_s2,xgb,rank_spearman,10,0.9572723504954646,0.00785674953540553,0.9465499333370944,0.9705594577733713
regime,iscx_url2016_binary,s0_vs_s2,xgb,direction_agreement_all,10,0.8714285714285716,0.05593971487843204,0.7714285714285715,0.9428571428571428
regime,iscx_url2016_binary,s0_vs_s2,xgb,direction_agreement_top20_union,10,0.9586580086580087,0.03361682389378223,0.9090909090909091,1.0
regime,iscx_url2016_binary,s0_vs_s3,lr,top10_jaccard,10,0.5091575091575091,0.09699085278747498,0.42857142857142855,0.6666666666666666
regime,iscx_url2016_binary,s0_vs_s3,lr,top15_jaccard,10,0.6862745098039216,0.041336962878018024,0.6666666666666666,0.7647058823529411
regime,iscx_url2016_binary,s0_vs_s3,lr,top20_jaccard,10,0.733201581027668,0.05567736667111288,0.6666666666666666,0.8181818181818182
regime,iscx_url2016_binary,s0_vs_s3,lr,rank_spearman,10,0.8338714786261251,0.031760705498065506,0.7851540616246498,0.8963585434173669
regime,iscx_url2016_binary,s0_vs_s3,lr,direction_agreement_all,10,0.8771428571428572,0.033128623106525854,0.8285714285714286,0.9428571428571428
regime,iscx_url2016_binary,s0_vs_s3,lr,direction_agreement_top20_union,10,0.9657608695652176,0.02732045831266487,0.9130434782608695,1.0
regime,iscx_url2016_binary,s0_vs_s3,rf,top10_jaccard,10,0.7424242424242424,0.07985549646889852,0.6666666666666666,0.8181818181818182
regime,iscx_url2016_binary,s0_vs_s3,rf,top15_jaccard,10,0.7659313725490196,0.049172555509163926,0.6666666666666666,0.875
regime,iscx_url2016_binary,s0_vs_s3,rf,top20_jaccard,10,0.8023715415019763,0.033330989830496795,0.7391304347826086,0.8181818181818182
regime,iscx_url2016_binary,s0_vs_s3,rf,rank_spearman,10,0.9161057802171857,0.008524484367269033,0.9016531595173272,0.9268703081675943
regime,iscx_url2016_binary,s0_vs_s3,rf,direction_agreement_all,10,0.9342857142857144,0.027105237087157546,0.8857142857142857,0.9714285714285714
regime,iscx_url2016_binary,s0_vs_s3,rf,direction_agreement_top20_union,10,0.9865612648221344,0.02164510347859716,0.9545454545454546,1.0
regime,iscx_url2016_binary,s0_vs_s3,xgb,top10_jaccard,10,0.8242424242424242,0.11138625254214321,0.6666666666666666,1.0
regime,iscx_url2016_binary,s0_vs_s3,xgb,top15_jaccard,10,0.7794117647058822,0.09148867764163021,0.6666666666666666,0.875
regime,iscx_url2016_binary,s0_vs_s3,xgb,top20_jaccard,10,0.8551853943158291,0.08289745524584562,0.7391304347826086,1.0
regime,iscx_url2016_binary,s0_vs_s3,xgb,rank_spearman,10,0.9574820341425069,0.016617961590590535,0.9265387052468886,0.9779651530847088
regime,iscx_url2016_binary,s0_vs_s3,xgb,direction_agreement_all,10,0.8571428571428573,0.04665694748158431,0.7714285714285715,0.9142857142857143
regime,iscx_url2016_binary,s0_vs_s3,xgb,direction_agreement_top20_union,10,0.9536420101637493,0.04977792982152924,0.8571428571428571,1.0
regime,iscx_url2016_binary,s1_vs_s2,lr,top10_jaccard,10,0.6213786213786214,0.12122614788709228,0.42857142857142855,0.8181818181818182
regime,iscx_url2016_binary,s1_vs_s2,lr,top15_jaccard,10,0.6522187822497421,0.0851280252974609,0.5789473684210527,0.7647058823529411
regime,iscx_url2016_binary,s1_vs_s2,lr,top20_jaccard,10,0.6287848383500557,0.07043892363222173,0.5384615384615384,0.7391304347826086
regime,iscx_url2016_binary,s1_vs_s2,lr,rank_spearman,10,0.7848430609418678,0.06662832083210622,0.6602240896358544,0.8633053221288516
regime,iscx_url2016_binary,s1_vs_s2,lr,direction_agreement_all,10,0.8714285714285716,0.04902681019517617,0.8,0.9714285714285714
regime,iscx_url2016_binary,s1_vs_s2,lr,direction_agreement_top20_union,10,0.9487307692307694,0.0629098571015285,0.8076923076923077,1.0
regime,iscx_url2016_binary,s1_vs_s2,rf,top10_jaccard,10,0.7016317016317016,0.11179094459936413,0.5384615384615384,0.8181818181818182
regime,iscx_url2016_binary,s1_vs_s2,rf,top15_jaccard,10,0.8252450980392159,0.1200899801662222,0.6666666666666666,1.0
regime,iscx_url2016_binary,s1_vs_s2,rf,top20_jaccard,10,0.8961038961038963,0.02737902736076517,0.8181818181818182,0.9047619047619048
regime,iscx_url2016_binary,s1_vs_s2,rf,rank_spearman,10,0.9499424562345485,0.011409321783946443,0.932418238857762,0.9652661064425769
regime,iscx_url2016_binary,s1_vs_s2,rf,direction_agreement_all,10,0.917142857142857,0.04557518519621106,0.8571428571428571,0.9714285714285714
regime,iscx_url2016_binary,s1_vs_s2,rf,direction_agreement_top20_union,10,0.9859307359307359,0.02266132579298617,0.9523809523809523,1.0
regime,iscx_url2016_binary,s1_vs_s2,xgb,top10_jaccard,10,0.7144522144522145,0.0974276561700367,0.5384615384615384,0.8181818181818182
regime,iscx_url2016_binary,s1_vs_s2,xgb,top15_jaccard,10,0.7179437564499483,0.08383237570398895,0.5789473684210527,0.875
regime,iscx_url2016_binary,s1_vs_s2,xgb,top20_jaccard,10,0.8630905326557501,0.07387939997714595,0.7391304347826086,1.0
regime,iscx_url2016_binary,s1_vs_s2,xgb,rank_spearman,10,0.9514250383995628,0.014669587660297925,0.9228936747829124,0.9739063372889917
regime,iscx_url2016_binary,s1_vs_s2,xgb,direction_agreement_all,10,0.897142857142857,0.04704414870563226,0.8285714285714286,0.9714285714285714
regime,iscx_url2016_binary,s1_vs_s2,xgb,direction_agreement_top20_union,10,0.9722755505364201,0.023895282382024152,0.9523809523809523,1.0
regime,iscx_url2016_binary,s1_vs_s3,lr,top10_jaccard,10,0.5659340659340659,0.0773434643426125,0.42857142857142855,0.6666666666666666
regime,iscx_url2016_binary,s1_vs_s3,lr,top15_jaccard,10,0.6687306501547988,0.06197681100018406,0.5789473684210527,0.7647058823529411
regime,iscx_url2016_binary,s1_vs_s3,lr,top20_jaccard,10,0.7034782608695652,0.049888203798562104,0.6,0.7391304347826086
