source_dataset,target_dataset,feature,source_rho_mean,target_rho_mean,source_direction_deadzone,target_direction_deadzone,direction_flip_deadzone,absolute_rho_change,legacy_nonzero_flip_rate
iscx_url2016_binary,phiusiil,url_char_entropy,-0.11764042856924344,0.36282728679191434,-1,1,True,0.4804677153611578,1.0
iscx_url2016_binary,phiusiil,url_length,-0.39231092197647593,0.3568285652403572,-1,1,True,0.7491394872168331,1.0
phiusiil,iscx_url2016_binary,at_sign_count,0.0970626315185205,-0.01101155424444121,1,0,False,0.10807418576296171,1.0
phiusiil,iscx_url2016_binary,char_type_transition_count,0.41339782337035197,-0.2940214082638307,1,-1,True,0.7074192316341827,1.0
phiusiil,iscx_url2016_binary,digit_count,0.4537960293182136,-0.23657703513084125,1,-1,True,0.6903730644490549,1.0
phiusiil,iscx_url2016_binary,digit_ratio,0.4506068835412913,-0.21412970305884396,1,-1,True,0.6647365866001352,1.0
phiusiil,iscx_url2016_binary,domain_digit_ratio,0.19852222955676896,0.13292191620056737,1,1,False,0.06560031335620159,0.0
phiusiil,iscx_url2016_binary,domain_hyphen_ratio,0.09719241821941053,0.3633077932123868,1,1,False,0.2661153749929763,0.0
phiusiil,iscx_url2016_binary,dot_count,0.08074982547563181,0.5246160739530688,1,1,False,0.44386624847743694,0.0
phiusiil,iscx_url2016_binary,equals_sign_count,0.1908074924800086,0.004774494645965599,1,0,False,0.186032997834043,0.2
phiusiil,iscx_url2016_binary,fragment_length,0.06657223837111517,0.03543122973667941,1,1,False,0.031141008634435766,0.0
phiusiil,iscx_url2016_binary,has_port,0.011443065679690338,0.025556149231007158,0,1,False,0.01411308355131682,0.0
phiusiil,iscx_url2016_binary,has_userinfo,0.008979379201330741,,0,0,False,,0.0
phiusiil,iscx_url2016_binary,host_is_ip,0.07035023839109053,0.11890273254471768,1,1,False,0.048552494153627154,0.0
phiusiil,iscx_url2016_binary,hostname_length,0.08258864560325377,0.5438548230506763,1,1,False,0.4612661774474226,0.0
phiusiil,iscx_url2016_binary,hyphen_count,0.29595283827825675,-0.4085245143049054,1,-1,True,0.7044773525831621,1.0
phiusiil,iscx_url2016_binary,letter_count,0.18883099860798802,-0.2607413084968009,1,-1,True,0.4495723071047889,1.0
phiusiil,iscx_url2016_binary,letter_ratio,-0.15124315119792092,0.215523367717529,-1,1,True,0.3667665189154499,1.0
phiusiil,iscx_url2016_binary,longest_repeated_char_run,-0.5150986779944718,0.5003235463362914,-1,1,True,1.0154222243307633,1.0
phiusiil,iscx_url2016_binary,path_length,0.46058852535274875,-0.3584058587551237,1,-1,True,0.8189943841078724,1.0
phiusiil,iscx_url2016_binary,path_segment_count,0.4607053087716653,-0.09657207156142296,1,-1,True,0.5572773803330883,1.0
phiusiil,iscx_url2016_binary,percent_sign_count,0.0783098032560611,-0.18845641519379971,1,-1,True,0.2667662184498608,1.0
phiusiil,iscx_url2016_binary,query_length,0.2017343870894071,-0.06272375673699017,1,-1,True,0.26445814382639726,1.0
phiusiil,iscx_url2016_binary,query_parameter_count,0.2016963185888314,-0.06428961429631935,1,-1,True,0.26598593288515077,1.0
phiusiil,iscx_url2016_binary,question_mark_count,0.20194566696735933,-0.04226865934430795,1,-1,True,0.24421432631166728,1.0
phiusiil,iscx_url2016_binary,registrable_domain_length,-0.15835132075150074,0.1990714208934545,-1,1,True,0.35742274164495524,1.0
phiusiil,iscx_url2016_binary,slash_count,0.38426579878160816,0.07855143818421076,1,1,False,0.3057143605973974,0.0
phiusiil,iscx_url2016_binary,special_char_count,0.3323671898989018,-0.42203234346657803,1,-1,True,0.7543995333654798,1.0
phiusiil,iscx_url2016_binary,special_char_ratio,-0.14307506256872685,-0.13918408933854962,-1,-1,False,0.0038909732301772304,0.0
phiusiil,iscx_url2016_binary,subdomain_depth,-0.01703303219851348,0.8256732213112217,0,1,False,0.8427062535097352,1.0
phiusiil,iscx_url2016_binary,tld_length,-0.10015017831463502,0.0687958751990386,-1,1,True,0.16894605351367362,1.0
phiusiil,iscx_url2016_binary,token_count,0.37933195755342813,-0.4489803928251506,1,-1,True,0.8283123503785788,1.0
phiusiil,iscx_url2016_binary,token_max_length,0.05059953339709923,0.17375293102559214,1,1,False,0.12315339762849291,0.0
phiusiil,iscx_url2016_binary,token_mean_length,0.02043685941663449,0.2233090981220096,1,1,False,0.20287223870537513,0.0
phiusiil,iscx_url2016_binary,underscore_count,0.15598522062249334,-0.09352141068168299,1,-1,True,0.24950663130417633,1.0
phiusiil,iscx_url2016_binary,url_char_entropy,0.23679672363287024,-0.05618922990960562,1,-1,True,0.29298595354247586,1.0
phiusiil,iscx_url2016_binary,url_length,0.238055616057741,-0.3190036022447425,1,-1,True,0.5570592183024835,1.0
