dataset,model,repetition,comparison,metric,delta
iscx_url2016_binary,lr,r01,f_single_minus_f_all,pr_auc,-0.01323399018432908
iscx_url2016_binary,lr,r01,f_single_minus_f_all,balanced_accuracy,-0.004408308037918918
iscx_url2016_binary,lr,r01,f_stable_minus_f_all,macro_f1,-0.0035743902484330903
iscx_url2016_binary,lr,r01,f_stable_minus_f_all,recall,-0.01404682274247504
iscx_url2016_binary,lr,r01,f_stable_minus_f_all,fpr,-0.0007542900245144368
iscx_url2016_binary,lr,r01,f_stable_minus_f_all,roc_auc,-0.017684695417562013
iscx_url2016_binary,lr,r01,f_stable_minus_f_all,pr_auc,-0.029756559596369414
iscx_url2016_binary,lr,r01,f_stable_minus_f_all,balanced_accuracy,-0.006646266358980357
iscx_url2016_binary,lr,r01,f_stable_minus_f_single,macro_f1,-0.0018098058707194387
iscx_url2016_binary,lr,r01,f_stable_minus_f_single,recall,-0.0033444816053511683
iscx_url2016_binary,lr,r01,f_stable_minus_f_single,fpr,0.0011314350367716552
iscx_url2016_binary,lr,r01,f_stable_minus_f_single,roc_auc,-0.007826200478431744
iscx_url2016_binary,lr,r01,f_stable_minus_f_single,pr_auc,-0.016522569412040333
iscx_url2016_binary,lr,r01,f_stable_minus_f_single,balanced_accuracy,-0.0022379583210614395
iscx_url2016_binary,lr,r02,f_single_minus_f_all,macro_f1,0.00017838780554357836
iscx_url2016_binary,lr,r02,f_single_minus_f_all,recall,-0.0026755852842809125
iscx_url2016_binary,lr,r02,f_single_minus_f_all,fpr,-0.0013200075429002367
iscx_url2016_binary,lr,r02,f_single_minus_f_all,roc_auc,-0.011032816030807302
iscx_url2016_binary,lr,r02,f_single_minus_f_all,pr_auc,-0.02237504194520812
iscx_url2016_binary,lr,r02,f_single_minus_f_all,balanced_accuracy,-0.0006777888706903656
iscx_url2016_binary,lr,r02,f_stable_minus_f_all,macro_f1,-0.0021228249070911476
iscx_url2016_binary,lr,r02,f_stable_minus_f_all,recall,-0.005351170568561936
iscx_url2016_binary,lr,r02,f_stable_minus_f_all,fpr,0.0007542900245144368
iscx_url2016_binary,lr,r02,f_stable_minus_f_all,roc_auc,-0.020460936795415163
iscx_url2016_binary,lr,r02,f_stable_minus_f_all,pr_auc,-0.04174850140226494
iscx_url2016_binary,lr,r02,f_stable_minus_f_all,balanced_accuracy,-0.0030527302965381864
iscx_url2016_binary,lr,r02,f_stable_minus_f_single,macro_f1,-0.002301212712634726
iscx_url2016_binary,lr,r02,f_stable_minus_f_single,recall,-0.0026755852842810235
iscx_url2016_binary,lr,r02,f_stable_minus_f_single,fpr,0.0020742975674146735
iscx_url2016_binary,lr,r02,f_stable_minus_f_single,roc_auc,-0.009428120764607861
iscx_url2016_binary,lr,r02,f_stable_minus_f_single,pr_auc,-0.01937345945705682
iscx_url2016_binary,lr,r02,f_stable_minus_f_single,balanced_accuracy,-0.0023749414258478208
iscx_url2016_binary,lr,r03,f_single_minus_f_all,macro_f1,-0.15111338423778642
iscx_url2016_binary,lr,r03,f_single_minus_f_all,recall,0.023474178403755985
iscx_url2016_binary,lr,r03,f_single_minus_f_all,fpr,0.16406829992576097
iscx_url2016_binary,lr,r03,f_single_minus_f_all,roc_auc,0.00010232142670407729
iscx_url2016_binary,lr,r03,f_single_minus_f_all,pr_auc,0.00047309722332766757
iscx_url2016_binary,lr,r03,f_single_minus_f_all,balanced_accuracy,-0.07029706076100273
iscx_url2016_binary,lr,r03,f_stable_minus_f_all,macro_f1,-0.15178272303743634
iscx_url2016_binary,lr,r03,f_stable_minus_f_all,recall,0.022803487592220173
iscx_url2016_binary,lr,r03,f_stable_minus_f_all,fpr,0.16462509279881218
iscx_url2016_binary,lr,r03,f_stable_minus_f_all,roc_auc,-8.265380453975624e-05
iscx_url2016_binary,lr,r03,f_stable_minus_f_all,pr_auc,2.4973475853173888e-05
iscx_url2016_binary,lr,r03,f_stable_minus_f_all,balanced_accuracy,-0.07091080260329619
iscx_url2016_binary,lr,r03,f_stable_minus_f_single,macro_f1,-0.0006693387996499212
iscx_url2016_binary,lr,r03,f_stable_minus_f_single,recall,-0.0006706908115358123
iscx_url2016_binary,lr,r03,f_stable_minus_f_single,fpr,0.000556792873051215
iscx_url2016_binary,lr,r03,f_stable_minus_f_single,roc_auc,-0.00018497523124383353
iscx_url2016_binary,lr,r03,f_stable_minus_f_single,pr_auc,-0.0004481237474744937
iscx_url2016_binary,lr,r03,f_stable_minus_f_single,balanced_accuracy,-0.0006137418422934582
iscx_url2016_binary,lr,r04,f_single_minus_f_all,macro_f1,-0.003222373419805691
iscx_url2016_binary,lr,r04,f_single_minus_f_all,recall,-0.010033444816053505
iscx_url2016_binary,lr,r04,f_single_minus_f_all,fpr,0.0003771450122572184
iscx_url2016_binary,lr,r04,f_single_minus_f_all,roc_auc,-0.015452602395186088
iscx_url2016_binary,lr,r04,f_single_minus_f_all,pr_auc,-0.026134886732721574
iscx_url2016_binary,lr,r04,f_single_minus_f_all,balanced_accuracy,-0.005205294914155334
iscx_url2016_binary,lr,r04,f_stable_minus_f_all,macro_f1,-0.004721950654242857
iscx_url2016_binary,lr,r04,f_stable_minus_f_all,recall,-0.016053511705685586
iscx_url2016_binary,lr,r04,f_stable_minus_f_all,fpr,5.551115123125783e-17
iscx_url2016_binary,lr,r04,f_stable_minus_f_all,roc_auc,-0.012504816797710872
iscx_url2016_binary,lr,r04,f_stable_minus_f_all,pr_auc,-0.02207448734111661
iscx_url2016_binary,lr,r04,f_stable_minus_f_all,balanced_accuracy,-0.008026755852842737
iscx_url2016_binary,lr,r04,f_stable_minus_f_single,macro_f1,-0.001499577234437166
iscx_url2016_binary,lr,r04,f_stable_minus_f_single,recall,-0.006020066889632081
iscx_url2016_binary,lr,r04,f_stable_minus_f_single,fpr,-0.0003771450122571629
iscx_url2016_binary,lr,r04,f_stable_minus_f_single,roc_auc,0.0029477855974752165
iscx_url2016_binary,lr,r04,f_stable_minus_f_single,pr_auc,0.004060399391604963
iscx_url2016_binary,lr,r04,f_stable_minus_f_single,balanced_accuracy,-0.0028214609386874034
iscx_url2016_binary,lr,r05,f_single_minus_f_all,macro_f1,0.002423095703138256
iscx_url2016_binary,lr,r05,f_single_minus_f_all,recall,0.008048289738430636
iscx_url2016_binary,lr,r05,f_single_minus_f_all,fpr,0.0001855976243504249
iscx_url2016_binary,lr,r05,f_single_minus_f_all,roc_auc,-0.00023202815009326638
iscx_url2016_binary,lr,r05,f_single_minus_f_all,pr_auc,-0.00010291854319799398
iscx_url2016_binary,lr,r05,f_single_minus_f_all,balanced_accuracy,0.003931346057040153
iscx_url2016_binary,lr,r05,f_stable_minus_f_all,macro_f1,0.002417726259451247
iscx_url2016_binary,lr,r05,f_stable_minus_f_all,recall,0.007377598926894713
iscx_url2016_binary,lr,r05,f_stable_minus_f_all,fpr,1.6588293239028218e-17
iscx_url2016_binary,lr,r05,f_stable_minus_f_all,roc_auc,-0.0004372933966081405
iscx_url2016_binary,lr,r05,f_stable_minus_f_all,pr_auc,-0.0004307007202274393
iscx_url2016_binary,lr,r05,f_stable_minus_f_all,balanced_accuracy,0.0036887994634473564
iscx_url2016_binary,lr,r05,f_stable_minus_f_single,macro_f1,-5.369443687008868e-06
iscx_url2016_binary,lr,r05,f_stable_minus_f_single,recall,-0.0006706908115359234
iscx_url2016_binary,lr,r05,f_stable_minus_f_single,fpr,-0.0001855976243504083
iscx_url2016_binary,lr,r05,f_stable_minus_f_single,roc_auc,-0.0002052652465148741
iscx_url2016_binary,lr,r05,f_stable_minus_f_single,pr_auc,-0.00032778217702944534
iscx_url2016_binary,lr,r05,f_stable_minus_f_single,balanced_accuracy,-0.00024254659359279618
iscx_url2016_binary,lr,r06,f_single_minus_f_all,macro_f1,-0.0020698346349234953
iscx_url2016_binary,lr,r06,f_single_minus_f_all,recall,-0.008026755852842737
iscx_url2016_binary,lr,r06,f_single_minus_f_all,fpr,-0.0003771450122572184
iscx_url2016_binary,lr,r06,f_single_minus_f_all,roc_auc,-0.002228939635985472
iscx_url2016_binary,lr,r06,f_single_minus_f_all,pr_auc,-0.0026147720260176754
iscx_url2016_binary,lr,r06,f_single_minus_f_all,balanced_accuracy,-0.0038248054202928428
iscx_url2016_binary,lr,r06,f_stable_minus_f_all,macro_f1,-0.0029119798426353594
iscx_url2016_binary,lr,r06,f_stable_minus_f_all,recall,-0.011371237458193906
iscx_url2016_binary,lr,r06,f_stable_minus_f_all,fpr,-0.0005657175183857999
iscx_url2016_binary,lr,r06,f_stable_minus_f_all,roc_auc,-0.009764397889249099
iscx_url2016_binary,lr,r06,f_stable_minus_f_all,pr_auc,-0.02099231790398992
iscx_url2016_binary,lr,r06,f_stable_minus_f_all,balanced_accuracy,-0.005402759969904136
iscx_url2016_binary,lr,r06,f_stable_minus_f_single,macro_f1,-0.0008421452077118641
iscx_url2016_binary,lr,r06,f_stable_minus_f_single,recall,-0.0033444816053511683
iscx_url2016_binary,lr,r06,f_stable_minus_f_single,fpr,-0.00018857250612858145
iscx_url2016_binary,lr,r06,f_stable_minus_f_single,roc_auc,-0.007535458253263627
iscx_url2016_binary,lr,r06,f_stable_minus_f_single,pr_auc,-0.018377545877972246
iscx_url2016_binary,lr,r06,f_stable_minus_f_single,balanced_accuracy,-0.0015779545496112934
iscx_url2016_binary,lr,r07,f_single_minus_f_all,macro_f1,-0.001396747961265321
iscx_url2016_binary,lr,r07,f_single_minus_f_all,recall,0.0013377926421404007
iscx_url2016_binary,lr,r07,f_single_minus_f_all,fpr,0.002451442579671892
iscx_url2016_binary,lr,r07,f_single_minus_f_all,roc_auc,-0.015232748296067689
iscx_url2016_binary,lr,r07,f_single_minus_f_all,pr_auc,-0.03774374145874837
iscx_url2016_binary,lr,r07,f_single_minus_f_all,balanced_accuracy,-0.0005568249687657456
iscx_url2016_binary,lr,r07,f_stable_minus_f_all,macro_f1,-0.0027512436734866696
iscx_url2016_binary,lr,r07,f_stable_minus_f_all,recall,-0.004682274247491791
iscx_url2016_binary,lr,r07,f_stable_minus_f_all,fpr,0.001885725061286092
iscx_url2016_binary,lr,r07,f_stable_minus_f_all,roc_auc,-0.019773750833282477
iscx_url2016_binary,lr,r07,f_stable_minus_f_all,pr_auc,-0.04777349315298807
iscx_url2016_binary,lr,r07,f_stable_minus_f_all,balanced_accuracy,-0.0032839996543889693
iscx_url2016_binary,lr,r07,f_stable_minus_f_single,macro_f1,-0.0013544957122213486
iscx_url2016_binary,lr,r07,f_stable_minus_f_single,recall,-0.006020066889632192
iscx_url2016_binary,lr,r07,f_stable_minus_f_single,fpr,-0.0005657175183857999
iscx_url2016_binary,lr,r07,f_stable_minus_f_single,roc_auc,-0.004541002537214789
iscx_url2016_binary,lr,r07,f_stable_minus_f_single,pr_auc,-0.010029751694239697
iscx_url2016_binary,lr,r07,f_stable_minus_f_single,balanced_accuracy,-0.0027271746856232237
iscx_url2016_binary,lr,r08,f_single_minus_f_all,macro_f1,-0.04871145664270293
iscx_url2016_binary,lr,r08,f_single_minus_f_all,recall,0.008718980549966449
iscx_url2016_binary,lr,r08,f_single_minus_f_all,fpr,0.047512991833704554
iscx_url2016_binary,lr,r08,f_single_minus_f_all,roc_auc,-0.0015071871466363351
iscx_url2016_binary,lr,r08,f_single_minus_f_all,pr_auc,-0.0030847480593592103
iscx_url2016_binary,lr,r08,f_single_minus_f_all,balanced_accuracy,-0.01939700564186908
iscx_url2016_binary,lr,r08,f_stable_minus_f_all,macro_f1,-0.14884470334330668
iscx_url2016_binary,lr,r08,f_stable_minus_f_all,recall,0.02682763246143527
iscx_url2016_binary,lr,r08,f_stable_minus_f_all,fpr,0.16276911655530812
iscx_url2016_binary,lr,r08,f_stable_minus_f_all,roc_auc,-0.00011078597295244297
iscx_url2016_binary,lr,r08,f_stable_minus_f_all,pr_auc,0.00016877187675112815
iscx_url2016_binary,lr,r08,f_stable_minus_f_all,balanced_accuracy,-0.06797074204693654
iscx_url2016_binary,lr,r08,f_stable_minus_f_single,macro_f1,-0.10013324670060375
iscx_url2016_binary,lr,r08,f_stable_minus_f_single,recall,0.01810865191146882
iscx_url2016_binary,lr,r08,f_stable_minus_f_single,fpr,0.11525612472160356
iscx_url2016_binary,lr,r08,f_stable_minus_f_single,roc_auc,0.0013964011736838922
iscx_url2016_binary,lr,r08,f_stable_minus_f_single,pr_auc,0.0032535199361103384
iscx_url2016_binary,lr,r08,f_stable_minus_f_single,balanced_accuracy,-0.04857373640506746
iscx_url2016_binary,lr,r09,f_single_minus_f_all,macro_f1,-0.10873305977312075
iscx_url2016_binary,lr,r09,f_single_minus_f_all,recall,0.005365526492287054
iscx_url2016_binary,lr,r09,f_single_minus_f_all,fpr,0.11210096510764665
iscx_url2016_binary,lr,r09,f_single_minus_f_all,roc_auc,1.2572340750915956e-05
iscx_url2016_binary,lr,r09,f_single_minus_f_all,pr_auc,0.0005567806087544147
iscx_url2016_binary,lr,r09,f_single_minus_f_all,balanced_accuracy,-0.053367719307679695
iscx_url2016_binary,lr,r09,f_stable_minus_f_all,macro_f1,-0.13489297131253242
iscx_url2016_binary,lr,r09,f_stable_minus_f_all,recall,0.004024144869215207
iscx_url2016_binary,lr,r09,f_stable_minus_f_all,fpr,0.14198218262806236
iscx_url2016_binary,lr,r09,f_stable_minus_f_all,roc_auc,-0.00046081985603296793
iscx_url2016_binary,lr,r09,f_stable_minus_f_all,pr_auc,-0.0003962978204536949
iscx_url2016_binary,lr,r09,f_stable_minus_f_all,balanced_accuracy,-0.06897901887942348
iscx_url2016_binary,lr,r09,f_stable_minus_f_single,macro_f1,-0.026159911539411662
iscx_url2016_binary,lr,r09,f_stable_minus_f_single,recall,-0.0013413816230718467
iscx_url2016_binary,lr,r09,f_stable_minus_f_single,fpr,0.029881217520415726
iscx_url2016_binary,lr,r09,f_stable_minus_f_single,roc_auc,-0.0004733921967838839
iscx_url2016_binary,lr,r09,f_stable_minus_f_single,pr_auc,-0.0009530784292081096
iscx_url2016_binary,lr,r09,f_stable_minus_f_single,balanced_accuracy,-0.015611299571743786
iscx_url2016_binary,rf,r00,f_single_minus_f_all,macro_f1,0.0008592077614274496
iscx_url2016_binary,rf,r00,f_single_minus_f_all,recall,0.0026827632461435824
iscx_url2016_binary,rf,r00,f_single_minus_f_all,fpr,0.0
iscx_url2016_binary,rf,r00,f_single_minus_f_all,roc_auc,-6.323513961781213e-05
iscx_url2016_binary,rf,r00,f_single_minus_f_all,pr_auc,-0.00018756526329133383
iscx_url2016_binary,rf,r00,f_single_minus_f_all,balanced_accuracy,0.0013413816230717357
iscx_url2016_binary,rf,r00,f_stable_minus_f_all,macro_f1,0.0012881846292051025
iscx_url2016_binary,rf,r00,f_stable_minus_f_all,recall,0.004024144869215318
iscx_url2016_binary,rf,r00,f_stable_minus_f_all,fpr,0.0
iscx_url2016_binary,rf,r00,f_stable_minus_f_all,roc_auc,-5.3525807156784566e-05
iscx_url2016_binary,rf,r00,f_stable_minus_f_all,pr_auc,-0.00015468540904994832
iscx_url2016_binary,rf,r00,f_stable_minus_f_all,balanced_accuracy,0.002012072434607548
iscx_url2016_binary,rf,r00,f_stable_minus_f_single,macro_f1,0.00042897686777765287
iscx_url2016_binary,rf,r00,f_stable_minus_f_single,recall,0.0013413816230717357
iscx_url2016_binary,rf,r00,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,rf,r00,f_stable_minus_f_single,roc_auc,9.709332461027564e-06
iscx_url2016_binary,rf,r00,f_stable_minus_f_single,pr_auc,3.287985424138551e-05
iscx_url2016_binary,rf,r00,f_stable_minus_f_single,balanced_accuracy,0.0006706908115358123
iscx_url2016_binary,rf,r01,f_single_minus_f_all,macro_f1,0.031369753123859145
iscx_url2016_binary,rf,r01,f_single_minus_f_all,recall,-0.0033444816053512794
iscx_url2016_binary,rf,r01,f_single_minus_f_all,fpr,-0.03262304356024888
iscx_url2016_binary,rf,r01,f_single_minus_f_all,roc_auc,-0.00104692428151687
iscx_url2016_binary,rf,r01,f_single_minus_f_all,pr_auc,-0.0016927638007717682
iscx_url2016_binary,rf,r01,f_single_minus_f_all,balanced_accuracy,0.01463928097744871
iscx_url2016_binary,rf,r01,f_stable_minus_f_all,macro_f1,0.07129746135368875
iscx_url2016_binary,rf,r01,f_stable_minus_f_all,recall,-0.0033444816053512794
iscx_url2016_binary,rf,r01,f_stable_minus_f_all,fpr,-0.06977182726758435
iscx_url2016_binary,rf,r01,f_stable_minus_f_all,roc_auc,-0.000769300143731444
iscx_url2016_binary,rf,r01,f_stable_minus_f_all,pr_auc,-0.0012096869609961036
iscx_url2016_binary,rf,r01,f_stable_minus_f_all,balanced_accuracy,0.033213672831116425
iscx_url2016_binary,rf,r01,f_stable_minus_f_single,macro_f1,0.039927708229829606
iscx_url2016_binary,rf,r01,f_stable_minus_f_single,recall,0.0
iscx_url2016_binary,rf,r01,f_stable_minus_f_single,fpr,-0.03714878370733547
iscx_url2016_binary,rf,r01,f_stable_minus_f_single,roc_auc,0.00027762413778542605
iscx_url2016_binary,rf,r01,f_stable_minus_f_single,pr_auc,0.0004830768397756646
iscx_url2016_binary,rf,r01,f_stable_minus_f_single,balanced_accuracy,0.018574391853667716
iscx_url2016_binary,rf,r02,f_single_minus_f_all,macro_f1,0.07948875749056183
iscx_url2016_binary,rf,r02,f_single_minus_f_all,recall,-0.0026755852842809125
iscx_url2016_binary,rf,r02,f_single_minus_f_all,fpr,-0.08957194041108803
iscx_url2016_binary,rf,r02,f_single_minus_f_all,roc_auc,-0.000703331300450305
iscx_url2016_binary,rf,r02,f_single_minus_f_all,pr_auc,-0.0011115052210499687
iscx_url2016_binary,rf,r02,f_single_minus_f_all,balanced_accuracy,0.04344817756340358
iscx_url2016_binary,rf,r02,f_stable_minus_f_all,macro_f1,-0.012145478642729968
iscx_url2016_binary,rf,r02,f_stable_minus_f_all,recall,-0.0020066889632106566
iscx_url2016_binary,rf,r02,f_stable_minus_f_all,fpr,0.013954365453516915
iscx_url2016_binary,rf,r02,f_stable_minus_f_all,roc_auc,-0.0005394813436201407
iscx_url2016_binary,rf,r02,f_stable_minus_f_all,pr_auc,-0.000827687981277192
iscx_url2016_binary,rf,r02,f_stable_minus_f_all,balanced_accuracy,-0.00798052720836373
iscx_url2016_binary,rf,r02,f_stable_minus_f_single,macro_f1,-0.0916342361332918
iscx_url2016_binary,rf,r02,f_stable_minus_f_single,recall,0.0006688963210702559
iscx_url2016_binary,rf,r02,f_stable_minus_f_single,fpr,0.10352630586460494
iscx_url2016_binary,rf,r02,f_stable_minus_f_single,roc_auc,0.00016384995683016434
iscx_url2016_binary,rf,r02,f_stable_minus_f_single,pr_auc,0.00028381723977277673
iscx_url2016_binary,rf,r02,f_stable_minus_f_single,balanced_accuracy,-0.05142870477176731
iscx_url2016_binary,rf,r03,f_single_minus_f_all,macro_f1,-0.0006433089553161686
iscx_url2016_binary,rf,r03,f_single_minus_f_all,recall,-0.00201207243460777
iscx_url2016_binary,rf,r03,f_single_minus_f_all,fpr,0.0
iscx_url2016_binary,rf,r03,f_single_minus_f_all,roc_auc,-8.178245419054875e-05
iscx_url2016_binary,rf,r03,f_single_minus_f_all,pr_auc,-0.00021469314596389566
iscx_url2016_binary,rf,r03,f_single_minus_f_all,balanced_accuracy,-0.001006036217303663
iscx_url2016_binary,rf,r03,f_stable_minus_f_all,macro_f1,-0.0017175805924072307
iscx_url2016_binary,rf,r03,f_stable_minus_f_all,recall,-0.005365526492287165
iscx_url2016_binary,rf,r03,f_stable_minus_f_all,fpr,0.0
iscx_url2016_binary,rf,r03,f_stable_minus_f_all,roc_auc,-1.4190562827698372e-05
iscx_url2016_binary,rf,r03,f_stable_minus_f_all,pr_auc,-4.908617462717757e-05
iscx_url2016_binary,rf,r03,f_stable_minus_f_all,balanced_accuracy,-0.0026827632461433604
iscx_url2016_binary,rf,r03,f_stable_minus_f_single,macro_f1,-0.001074271637091062
iscx_url2016_binary,rf,r03,f_stable_minus_f_single,recall,-0.0033534540576793948
iscx_url2016_binary,rf,r03,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,rf,r03,f_stable_minus_f_single,roc_auc,6.759189136285038e-05
iscx_url2016_binary,rf,r03,f_stable_minus_f_single,pr_auc,0.0001656069713367181
iscx_url2016_binary,rf,r03,f_stable_minus_f_single,balanced_accuracy,-0.0016767270288396974
iscx_url2016_binary,rf,r04,f_single_minus_f_all,macro_f1,-0.07375122104410303
iscx_url2016_binary,rf,r04,f_single_minus_f_all,recall,-0.0013377926421405117
iscx_url2016_binary,rf,r04,f_single_minus_f_all,fpr,0.08976051291721676
iscx_url2016_binary,rf,r04,f_single_minus_f_all,roc_auc,-0.0010388516123579494
iscx_url2016_binary,rf,r04,f_single_minus_f_all,pr_auc,-0.001629952281549607
iscx_url2016_binary,rf,r04,f_single_minus_f_all,balanced_accuracy,-0.04554915277967864
iscx_url2016_binary,rf,r04,f_stable_minus_f_all,macro_f1,-0.1188934141570428
iscx_url2016_binary,rf,r04,f_stable_minus_f_all,recall,-0.0006688963210702559
iscx_url2016_binary,rf,r04,f_stable_minus_f_all,fpr,0.1501037148783708
iscx_url2016_binary,rf,r04,f_stable_minus_f_all,roc_auc,-0.0011880067886103074
iscx_url2016_binary,rf,r04,f_stable_minus_f_all,pr_auc,-0.00187118800986108
iscx_url2016_binary,rf,r04,f_stable_minus_f_all,balanced_accuracy,-0.07538630559972048
iscx_url2016_binary,rf,r04,f_stable_minus_f_single,macro_f1,-0.045142193112939766
iscx_url2016_binary,rf,r04,f_stable_minus_f_single,recall,0.0006688963210702559
iscx_url2016_binary,rf,r04,f_stable_minus_f_single,fpr,0.06034320196115403
iscx_url2016_binary,rf,r04,f_stable_minus_f_single,roc_auc,-0.00014915517625235797
iscx_url2016_binary,rf,r04,f_stable_minus_f_single,pr_auc,-0.000241235728311473
iscx_url2016_binary,rf,r04,f_stable_minus_f_single,balanced_accuracy,-0.029837152820041846
iscx_url2016_binary,rf,r05,f_single_minus_f_all,macro_f1,-0.00043149707854361896
iscx_url2016_binary,rf,r05,f_single_minus_f_all,recall,-0.0013413816230718467
iscx_url2016_binary,rf,r05,f_single_minus_f_all,fpr,0.0
iscx_url2016_binary,rf,r05,f_single_minus_f_all,roc_auc,0.0002230656893601468
iscx_url2016_binary,rf,r05,f_single_minus_f_all,pr_auc,0.0004194386010770712
iscx_url2016_binary,rf,r05,f_single_minus_f_all,balanced_accuracy,-0.0006706908115358123
iscx_url2016_binary,rf,r05,f_stable_minus_f_all,macro_f1,-0.0008634174812546247
iscx_url2016_binary,rf,r05,f_stable_minus_f_all,recall,-0.0026827632461435824
iscx_url2016_binary,rf,r05,f_stable_minus_f_all,fpr,0.0
iscx_url2016_binary,rf,r05,f_stable_minus_f_all,roc_auc,0.00022879170593970155
iscx_url2016_binary,rf,r05,f_stable_minus_f_all,pr_auc,0.0004498321255126392
iscx_url2016_binary,rf,r05,f_stable_minus_f_all,balanced_accuracy,-0.0013413816230716247
iscx_url2016_binary,rf,r05,f_stable_minus_f_single,macro_f1,-0.00043192040271100574
iscx_url2016_binary,rf,r05,f_stable_minus_f_single,recall,-0.0013413816230717357
iscx_url2016_binary,rf,r05,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,rf,r05,f_stable_minus_f_single,roc_auc,5.726016579554738e-06
iscx_url2016_binary,rf,r05,f_stable_minus_f_single,pr_auc,3.0393524435567976e-05
iscx_url2016_binary,rf,r05,f_stable_minus_f_single,balanced_accuracy,-0.0006706908115358123
iscx_url2016_binary,rf,r06,f_single_minus_f_all,macro_f1,-0.0340125442793382
iscx_url2016_binary,rf,r06,f_single_minus_f_all,recall,-1.1102230246251565e-16
iscx_url2016_binary,rf,r06,f_single_minus_f_all,fpr,0.03356590609089195
iscx_url2016_binary,rf,r06,f_single_minus_f_all,roc_auc,-8.198804614267807e-05
iscx_url2016_binary,rf,r06,f_single_minus_f_all,pr_auc,-6.822056823452272e-05
iscx_url2016_binary,rf,r06,f_single_minus_f_all,balanced_accuracy,-0.01678295304544597
iscx_url2016_binary,rf,r06,f_stable_minus_f_all,macro_f1,-0.027702044638087564
iscx_url2016_binary,rf,r06,f_stable_minus_f_all,recall,-1.1102230246251565e-16
iscx_url2016_binary,rf,r06,f_stable_minus_f_all,fpr,0.027154440882519337
iscx_url2016_binary,rf,r06,f_stable_minus_f_all,roc_auc,-0.00014392055484446775
iscx_url2016_binary,rf,r06,f_stable_minus_f_all,pr_auc,-0.00024313513110907348
iscx_url2016_binary,rf,r06,f_stable_minus_f_all,balanced_accuracy,-0.013577220441259641
iscx_url2016_binary,rf,r06,f_stable_minus_f_single,macro_f1,0.006310499641250633
iscx_url2016_binary,rf,r06,f_stable_minus_f_single,recall,0.0
iscx_url2016_binary,rf,r06,f_stable_minus_f_single,fpr,-0.006411465208372616
iscx_url2016_binary,rf,r06,f_stable_minus_f_single,roc_auc,-6.193250870178968e-05
iscx_url2016_binary,rf,r06,f_stable_minus_f_single,pr_auc,-0.00017491456287455076
iscx_url2016_binary,rf,r06,f_stable_minus_f_single,balanced_accuracy,0.0032057326041863288
iscx_url2016_binary,rf,r07,f_single_minus_f_all,macro_f1,-0.19535890721617244
iscx_url2016_binary,rf,r07,f_single_minus_f_all,recall,1.1102230246251565e-16
iscx_url2016_binary,rf,r07,f_single_minus_f_all,fpr,0.2164812370356403
iscx_url2016_binary,rf,r07,f_single_minus_f_all,roc_auc,-3.3425895735295086e-05
iscx_url2016_binary,rf,r07,f_single_minus_f_all,pr_auc,-1.6760911167978954e-05
iscx_url2016_binary,rf,r07,f_single_minus_f_all,balanced_accuracy,-0.10824061851782008
iscx_url2016_binary,rf,r07,f_stable_minus_f_all,macro_f1,-0.2188131392856708
iscx_url2016_binary,rf,r07,f_stable_minus_f_all,recall,-0.0006688963210701449
