dataset,scenario_key,repetition,model,candidate,candidate_index,params_json,status,fit_seconds,threshold,validation_n_samples,validation_n_benign,validation_n_phishing,validation_threshold,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_macro_f1,validation_roc_auc,validation_pr_auc,validation_fpr,validation_tn,validation_fp,validation_fn,validation_tp
iscx_url2016_binary,s0,r01,lr,lr_c1,1,"{""C"": 1.0, ""class_weight"": null}",ok,1.4450142999999116,0.67,6801,5306,1495,0.67,0.9838259079547126,0.9670541458083044,0.9887085391672548,0.937123745819398,0.9759676420399058,0.9949144465721268,0.9895956358125252,0.0030154542027892,5290,16,94,1401
iscx_url2016_binary,s0,r01,lr,lr_c1_balanced,2,"{""C"": 1.0, ""class_weight"": ""balanced""}",ok,1.2268945999999232,0.79,6801,5306,1495,0.79,0.982061461549772,0.9692863635160296,0.9711736444749484,0.9464882943143812,0.9736083438299172,0.9951000129846064,0.9883787228018216,0.0079155672823219,5264,42,80,1415
iscx_url2016_binary,s0,r01,rf,rf_depth16_leaf1,0,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",ok,2.6803627999997843,0.31,6801,5306,1495,0.31,0.9982355535950596,0.9967072677236724,0.9979852249832102,0.993979933110368,0.9974241979702634,0.9999513392423798,0.9998328154563054,0.0005653976630229,5303,3,9,1486
iscx_url2016_binary,s0,r01,rf,rf_depth24_leaf2,1,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",ok,2.948047399999723,0.32,6801,5306,1495,0.32,0.9982355535950596,0.9967072677236724,0.9979852249832102,0.993979933110368,0.9974241979702634,0.999945288163712,0.9998157622592152,0.0005653976630229,5303,3,9,1486
iscx_url2016_binary,s0,r01,rf,rf_unlimited_leaf5_balanced,2,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",ok,4.583746599999813,0.5,6801,5306,1495,0.5,0.9973533303925892,0.9949407939771596,0.9973063973063973,0.9906354515050168,0.9961325677111832,0.9999412541112668,0.9997982580136718,0.0007538635506973,5302,4,14,1481
iscx_url2016_binary,s0,r01,xgb,xgb_d4_lr005,0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,2.9028895999999804,0.21,6801,5306,1495,0.21,0.9982355535950596,0.9969474829403704,0.9973172367538564,0.9946488294314382,0.9974254382799208,0.9999312950442928,0.9997673289177512,0.0007538635506973,5302,4,8,1487
iscx_url2016_binary,s0,r01,xgb,xgb_d6_lr005,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 250, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,2.763508300000012,0.15,6801,5306,1495,0.15,0.9980885163946478,0.9968532499965332,0.9966487935656836,0.9946488294314382,0.9972115625553406,0.9999578945776032,0.9998559745053568,0.0009423294383716,5301,5,8,1487
iscx_url2016_binary,s0,r01,xgb,xgb_d6_lr01_balanced,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.5505376344086024, ""subsample"": 0.9}",ok,1.903588799999852,0.31,6801,5306,1495,0.31,0.9982355535950596,0.9962268372902764,0.9993265993265992,0.9926421404682274,0.9974217118074554,0.9999765520701622,0.9999192490604784,0.0001884658876743,5305,1,11,1484
iscx_url2016_binary,s0,r02,lr,lr_c01,0,"{""C"": 0.1, ""class_weight"": null}",ok,1.6940112999996018,0.54,6801,5306,1495,0.54,0.9864725775621233,0.974515503998124,0.9847961299239808,0.9531772575250836,0.9800491809760434,0.9942055879190216,0.989766917809892,0.0041462495288352,5284,22,70,1425
iscx_url2016_binary,s0,r02,lr,lr_c1,1,"{""C"": 1.0, ""class_weight"": null}",ok,2.216773700000431,0.68,6801,5306,1495,0.68,0.9867666519629468,0.9739833242357046,0.9881862404447532,0.9511705685618728,0.9804443539649568,0.9952075456950988,0.9913480347549986,0.0032039200904636,5289,17,73,1422
iscx_url2016_binary,s0,r02,lr,lr_c1_balanced,2,"{""C"": 1.0, ""class_weight"": ""balanced""}",ok,1.9237318999998931,0.59,6801,5306,1495,0.59,0.9858844287604764,0.9801439526402242,0.966022651565623,0.9698996655518396,0.9794528980371592,0.9955293874417428,0.9897491014410572,0.0096117602713908,5255,51,45,1450
iscx_url2016_binary,s0,r02,rf,rf_depth16_leaf1,0,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",ok,3.956216900000072,0.42,6801,5306,1495,0.42,0.9983825907954712,0.9970417158842076,0.997986577181208,0.9946488294314382,0.9976394168260536,0.9999416323036836,0.9998098361203804,0.0005653976630229,5303,3,8,1487
iscx_url2016_binary,s0,r02,rf,rf_depth24_leaf2,1,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",ok,3.649235900000349,0.34,6801,5306,1495,0.34,0.9980885163946478,0.9975738956466272,0.9946595460614152,0.9966555183946488,0.9972155786129556,0.9999373461229604,0.9997943533030438,0.0015077271013946,5298,8,5,1490
iscx_url2016_binary,s0,r02,rf,rf_unlimited_leaf5_balanced,2,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",ok,3.7311698999997134,0.44,6801,5306,1495,0.44,0.9976474047934129,0.9970509815984177,0.9933288859239492,0.9959866220735786,0.996573841498986,0.9999186886304012,0.9997368509895668,0.0018846588767433,5296,10,6,1489
iscx_url2016_binary,s0,r02,xgb,xgb_d4_lr005,0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,1.8772461999997176,0.34,6801,5306,1495,0.34,0.9980885163946478,0.9970934652132312,0.9959839357429718,0.9953177257525084,0.9972129032306876,0.999886038018423,0.9996523272114938,0.0011307953260459,5300,6,7,1488
iscx_url2016_binary,s0,r02,xgb,xgb_d6_lr005,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 250, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,2.4839842999999746,0.16,6801,5306,1495,0.16,0.9982355535950596,0.9976681285904644,0.9953239812959253,0.9966555183946488,0.9974291481651352,0.9999213359773184,0.999760703144191,0.0013192612137203,5299,7,5,1490
iscx_url2016_binary,s0,r02,xgb,xgb_d6_lr01_balanced,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.5505376344086024, ""subsample"": 0.9}",ok,2.052746599999864,0.24,6801,5306,1495,0.24,0.9986766651962946,0.9981910426386738,0.9966577540106952,0.9973244147157192,0.9980713982490304,0.999962558950743,0.999879504857578,0.0009423294383716,5301,5,4,1491
iscx_url2016_binary,s0,r03,lr,lr_c01,0,"{""C"": 0.1, ""class_weight"": null}",ok,1.7125839999998789,0.54,6801,5306,1495,0.54,0.9848551683575943,0.9717974350990296,0.981994459833795,0.948494983277592,0.9776472477657476,0.9937217537538748,0.9891788153936956,0.0049001130795326,5280,26,77,1418
iscx_url2016_binary,s0,r03,lr,lr_c1,1,"{""C"": 1.0, ""class_weight"": null}",ok,1.9997974000002612,0.5,6801,5306,1495,0.5,0.9850022055580062,0.9735731745597525,0.9780370624571036,0.9531772575250836,0.977934844841406,0.9942096219714668,0.9896240750952688,0.0060309084055785,5274,32,70,1425
iscx_url2016_binary,s0,r03,lr,lr_c1_balanced,2,"{""C"": 1.0, ""class_weight"": ""balanced""}",ok,1.8234655999999632,0.76,6801,5306,1495,0.76,0.9832377591530658,0.9724423792337064,0.9700476514635806,0.9531772575250836,0.97541108074103,0.9943229536323492,0.9879340154070138,0.0082924990576705,5262,44,70,1425
iscx_url2016_binary,s0,r03,rf,rf_depth16_leaf1,0,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",ok,4.545663200000035,0.36,6801,5306,1495,0.36,0.9977944419938244,0.9959441384587652,0.9973118279569892,0.9926421404682274,0.9967794714039696,0.9999204535283462,0.9997421755570016,0.0007538635506973,5302,4,11,1484
iscx_url2016_binary,s0,r03,rf,rf_depth24_leaf2,1,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",ok,3.890439900000274,0.43,6801,5306,1495,0.43,0.9976474047934129,0.995369475081532,0.997979797979798,0.991304347826087,0.9965622824099406,0.9999271349277086,0.9997562090794342,0.0005653976630229,5303,3,13,1482
iscx_url2016_binary,s0,r03,rf,rf_unlimited_leaf5_balanced,2,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",ok,4.293314099999861,0.45,6801,5306,1495,0.45,0.997500367593001,0.9959958877877888,0.9953083109919572,0.9933110367892976,0.9963535818031378,0.9998489751615828,0.9995579567309564,0.0013192612137203,5299,7,10,1485
iscx_url2016_binary,s0,r03,xgb,xgb_d4_lr005,0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,2.2245834000000286,0.27,6801,5306,1495,0.27,0.9980885163946478,0.9958923891297414,0.9993261455525606,0.9919732441471572,0.9972061798683224,0.9997467371449246,0.9993948862384696,0.0001884658876743,5305,1,12,1483
iscx_url2016_binary,s0,r03,xgb,xgb_d6_lr005,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 250, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,2.8039859000000438,0.5,6801,5306,1495,0.5,0.9980885163946478,0.9958923891297414,0.9993261455525606,0.9919732441471572,0.9972061798683224,0.999782287232098,0.9994569710741148,0.0001884658876743,5305,1,12,1483
iscx_url2016_binary,s0,r03,xgb,xgb_d6_lr01_balanced,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.5505376344086024, ""subsample"": 0.9}",ok,2.4744157999998606,0.42,6801,5306,1495,0.42,0.9982355535950596,0.9962268372902764,0.9993265993265992,0.9926421404682274,0.9974217118074554,0.9996818141133844,0.999426565488599,0.0001884658876743,5305,1,11,1484
iscx_url2016_binary,s0,r04,lr,lr_c01,0,"{""C"": 0.1, ""class_weight"": null}",ok,3.008853000000272,0.37,6801,5306,1495,0.37,0.984119982355536,0.9749294986303132,0.968897903989182,0.9585284280936456,0.9767617178512862,0.9932293472272824,0.9879156015112104,0.0086694308330192,5260,46,62,1433
iscx_url2016_binary,s0,r04,lr,lr_c1,1,"{""C"": 1.0, ""class_weight"": null}",ok,2.5229355999999825,0.33,6801,5306,1495,0.33,0.984561093956771,0.9768937039787102,0.9664429530201344,0.9632107023411371,0.9774671606123296,0.9941599527007352,0.9884209249102872,0.0094232943837165,5256,50,55,1440
iscx_url2016_binary,s0,r04,lr,lr_c1_balanced,2,"{""C"": 1.0, ""class_weight"": ""balanced""}",ok,1.634739499999796,0.66,6801,5306,1495,0.66,0.984119982355536,0.975409929063709,0.9676331759946056,0.959866220735786,0.9767841935235908,0.9949483578254944,0.9879046223236786,0.0090463626083678,5258,48,60,1435
iscx_url2016_binary,s0,r04,rf,rf_depth16_leaf1,0,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",ok,3.739482599999974,0.27,6801,5306,1495,0.27,0.9977944419938244,0.996664784108859,0.995314591700134,0.9946488294314382,0.9967841191123318,0.999727449331671,0.9993945266374196,0.0013192612137203,5299,7,8,1487
iscx_url2016_binary,s0,r04,rf,rf_depth24_leaf2,1,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",ok,2.86618529999987,0.44,6801,5306,1495,0.44,0.997941479194236,0.9957981561859042,0.9986531986531988,0.9919732441471572,0.996991997108698,0.9997309791275606,0.999380122449934,0.0003769317753486,5304,2,12,1483
iscx_url2016_binary,s0,r04,rf,rf_unlimited_leaf5_balanced,2,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",ok,3.146819300000061,0.48,6801,5306,1495,0.48,0.9977944419938244,0.996184353675463,0.9966442953020134,0.9933110367892976,0.9967810229446186,0.9997583350457044,0.9993771827296376,0.0009423294383716,5301,5,10,1485
iscx_url2016_binary,s0,r04,xgb,xgb_d4_lr005,0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,1.78535839999995,0.5,6801,5306,1495,0.5,0.997500367593001,0.994554596487601,0.9993243243243244,0.9892976588628762,0.9963430077027516,0.9998953667647026,0.9996784865552532,0.0001884658876743,5305,1,16,1479
iscx_url2016_binary,s0,r04,xgb,xgb_d6_lr005,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 250, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,1.8988110999998755,0.27,6801,5306,1495,0.27,0.998529627995883,0.9973761640447428,0.9979879275653925,0.9953177257525084,0.997854531899934,0.9998462017505269,0.9996274087813192,0.0005653976630229,5303,3,7,1488
iscx_url2016_binary,s0,r04,xgb,xgb_d6_lr01_balanced,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.5505376344086024, ""subsample"": 0.9}",ok,1.6948981999998978,0.35,6801,5306,1495,0.35,0.9983825907954712,0.9975221463176034,0.99665327978581,0.9959866220735786,0.9976416873490432,0.9998762050155878,0.9996610147263094,0.0009423294383716,5301,5,6,1489
iscx_url2016_binary,s0,r05,lr,lr_c01,0,"{""C"": 0.1, ""class_weight"": null}",ok,1.329769099999794,0.47,6801,5306,1495,0.47,0.9832377591530658,0.9724423792337064,0.9700476514635806,0.9531772575250836,0.97541108074103,0.9931295044292636,0.9871043732326976,0.0082924990576705,5262,44,70,1425
iscx_url2016_binary,s0,r05,lr,lr_c1,1,"{""C"": 1.0, ""class_weight"": null}",ok,1.5578240999998345,0.62,6801,5306,1495,0.62,0.9835318335538892,0.967586325570724,0.9852631578947368,0.9391304347826088,0.975579453850159,0.9934560105490472,0.9866076807889216,0.0039577836411609,5285,21,91,1404
iscx_url2016_binary,s0,r05,lr,lr_c1_balanced,2,"{""C"": 1.0, ""class_weight"": ""balanced""}",ok,1.594180900000083,0.89,6801,5306,1495,0.89,0.9827966475518306,0.9637521478177667,0.9914407988587732,0.9297658862876256,0.9743419604780476,0.9942918157900376,0.9872785691605284,0.0022615906520919,5294,12,105,1390
iscx_url2016_binary,s0,r05,rf,rf_depth16_leaf1,0,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",ok,3.2946967000002587,0.25,6801,5306,1495,0.25,0.9973533303925892,0.9966223004940452,0.9926617745163442,0.9953177257525084,0.9961455716863592,0.9999503307292684,0.999828217319704,0.0020731247644176,5295,11,7,1488
iscx_url2016_binary,s0,r05,rf,rf_depth24_leaf2,1,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",ok,2.8026873999997406,0.31,6801,5306,1495,0.31,0.997500367593001,0.9969567486545804,0.9926666666666668,0.9959866220735786,0.9963605789668932,0.9999558775513806,0.9998464438270442,0.0020731247644176,5295,11,6,1489
iscx_url2016_binary,s0,r05,rf,rf_unlimited_leaf5_balanced,2,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",ok,3.083278099999916,0.46,6801,5306,1495,0.46,0.9972062931921776,0.9955672066834164,0.9946380697050938,0.9926421404682274,0.9959245914270364,0.9999291519539312,0.9997533948483944,0.0015077271013946,5298,8,11,1484
iscx_url2016_binary,s0,r05,xgb,xgb_d4_lr005,0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,1.6945804000001772,0.19,6801,5306,1495,0.19,0.997941479194236,0.997239447486092,0.9946559786239144,0.9959866220735786,0.9970006728593246,0.999933690262932,0.9997758780072792,0.0015077271013946,5298,8,6,1489
iscx_url2016_binary,s0,r05,xgb,xgb_d6_lr005,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 250, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,1.8443975999998656,0.13,6801,5306,1495,0.13,0.997941479194236,0.99747966270279,0.9939959973315544,0.9966555183946488,0.9970021113116126,0.9999557514872416,0.9998483698007068,0.0016961929890689,5297,9,5,1490
iscx_url2016_binary,s0,r05,xgb,xgb_d6_lr01_balanced,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.5505376344086024, ""subsample"": 0.9}",ok,1.7907138000000486,0.2,6801,5306,1495,0.2,0.998529627995883,0.9980968096948366,0.995991983967936,0.9973244147157192,0.997857623470946,0.9999791994170794,0.9999265915373584,0.0011307953260459,5300,6,4,1491
iscx_url2016_binary,s0,r06,lr,lr_c01,0,"{""C"": 0.1, ""class_weight"": null}",ok,1.3282970000000205,0.52,6801,5306,1495,0.52,0.985149242758418,0.972226116203402,0.9826869806094184,0.9491638795986622,0.9780812817897137,0.9924838039097532,0.9872556246890352,0.0047116471918582,5281,25,76,1419
iscx_url2016_binary,s0,r06,lr,lr_c1,1,"{""C"": 1.0, ""class_weight"": null}",ok,1.4960344999999506,0.45,6801,5306,1495,0.45,0.9852962799588296,0.9747225013142188,0.97676008202324,0.9558528428093646,0.9783992048010746,0.9932686792386228,0.98892752537392,0.0064078401809272,5272,34,66,1429
iscx_url2016_binary,s0,r06,lr,lr_c1_balanced,2,"{""C"": 1.0, ""class_weight"": ""balanced""}",ok,1.356481199999962,0.57,6801,5306,1495,0.57,0.9836788707543008,0.9760880910989892,0.963186077643909,0.9625418060200668,0.976202481431255,0.9942618125249764,0.9895126424202172,0.0103656238220882,5251,55,56,1439
iscx_url2016_binary,s0,r06,rf,rf_depth16_leaf1,0,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",ok,2.776541299999735,0.33,6801,5306,1495,0.33,0.9982355535950596,0.9974279133737662,0.9959866220735786,0.9959866220735786,0.9974279133737662,0.9999655844900768,0.9998823199588625,0.0011307953260459,5300,6,6,1489
iscx_url2016_binary,s0,r06,rf,rf_depth24_leaf2,1,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",ok,2.636383399999886,0.52,6801,5306,1495,0.52,0.9980885163946478,0.9956521739130436,1.0,0.991304347826087,0.9972048291805804,0.9999597855396868,0.9998643816232538,0.0,5306,0,13,1482
iscx_url2016_binary,s0,r06,rf,rf_unlimited_leaf5_balanced,2,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",ok,2.8189753000001474,0.47,6801,5306,1495,0.47,0.9976474047934129,0.9960901207316258,0.9959758551307848,0.9933110367892976,0.9965672510398942,0.9999305386594592,0.9997688362796114,0.0011307953260459,5300,6,10,1485
iscx_url2016_binary,s0,r06,xgb,xgb_d4_lr005,0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,1.5716898000000583,0.34,6801,5306,1495,0.34,0.9977944419938244,0.996184353675463,0.9966442953020134,0.9933110367892976,0.9967810229446186,0.9999369679305437,0.9997865047437108,0.0009423294383716,5301,5,10,1485
iscx_url2016_binary,s0,r06,xgb,xgb_d6_lr005,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 250, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,1.6627451999997902,0.17,6801,5306,1495,0.17,0.9982355535950596,0.9971876981570684,0.9966510381781648,0.9953177257525084,0.9974266767465566,0.9999427668809338,0.9998099041212616,0.0009423294383716,5301,5,7,1488
iscx_url2016_binary,s0,r06,xgb,xgb_d6_lr01_balanced,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.5505376344086024, ""subsample"": 0.9}",ok,1.453327900000204,0.3,6801,5306,1495,0.3,0.9982355535950596,0.9971876981570684,0.9966510381781648,0.9953177257525084,0.9974266767465566,0.9999691142859664,0.9998948718741928,0.0009423294383716,5301,5,7,1488
iscx_url2016_binary,s0,r07,lr,lr_c01,0,"{""C"": 0.1, ""class_weight"": null}",ok,1.2000259999999798,0.49,6801,5306,1495,0.49,0.9829436847522424,0.9672093937953752,0.9825052484254724,0.9391304347826088,0.974732429898568,0.9942668550905328,0.987659773731133,0.0047116471918582,5281,25,91,1404
iscx_url2016_binary,s0,r07,lr,lr_c1,1,"{""C"": 1.0, ""class_weight"": null}",ok,1.3485665000002882,0.5,6801,5306,1495,0.5,0.9836788707543008,0.9691218498147488,0.9818941504178272,0.94314381270903,0.9758634710227272,0.9947016503056424,0.9884441599685928,0.0049001130795326,5280,26,85,1410
iscx_url2016_binary,s0,r07,lr,lr_c1_balanced,2,"{""C"": 1.0, ""class_weight"": ""balanced""}",ok,1.284153200000219,0.56,6801,5306,1495,0.56,0.9808851639464784,0.9723759434324996,0.9559118236472944,0.9571906354515052,0.9721491051222992,0.9952596732165392,0.9861633501586804,0.0124387485865058,5240,66,64,1431
