source_dataset,target_dataset,repetition,model,roc_auc_dcss15,roc_auc_stable,delta_dcss15_minus_stable
phiusiil,iscx_url2016_binary,r04,xgb,0.0555867109540093,0.1105002159812563,-0.054913505027247
phiusiil,iscx_url2016_binary,r05,lr,0.5717615944611145,0.5253201801783101,0.04644141428280446
phiusiil,iscx_url2016_binary,r05,rf,0.4690963923794,0.4632372855222146,0.005859106857185381
phiusiil,iscx_url2016_binary,r05,xgb,0.0660729861560809,0.0464013714727994,0.019671614683281498
phiusiil,iscx_url2016_binary,r06,lr,0.5561264044425425,0.525068330840531,0.031058073602011516
phiusiil,iscx_url2016_binary,r06,rf,0.4547039617909766,0.4558435401328722,-0.0011395783418955974
phiusiil,iscx_url2016_binary,r06,xgb,0.0905436762963991,0.0796197397640083,0.010923936532390807
phiusiil,iscx_url2016_binary,r07,lr,0.5635836694984535,0.5271454407454558,0.03643822875299774
phiusiil,iscx_url2016_binary,r07,rf,0.4797566093117502,0.4572309764733829,0.022525632838367282
phiusiil,iscx_url2016_binary,r07,xgb,0.0536570801268616,0.0821654422184438,-0.028508362091582196
phiusiil,iscx_url2016_binary,r08,lr,0.5634188116585093,0.5261310123226932,0.03728779933581605
phiusiil,iscx_url2016_binary,r08,rf,0.4717039473383077,0.4669848844584968,0.004719062879810942
phiusiil,iscx_url2016_binary,r08,xgb,0.0609010071640437,0.0559605231359961,0.004940484028047601
phiusiil,iscx_url2016_binary,r09,lr,0.5526226353438857,0.5216059800779934,0.031016655265892257
phiusiil,iscx_url2016_binary,r09,rf,0.4602698449719003,0.4697947595419666,-0.009524914570066267
phiusiil,iscx_url2016_binary,r09,xgb,0.0619324004366432,0.0671012245876052,-0.005168824150962002
