source_dataset,target_dataset,repetition,model,cohort,comparison,metric,delta
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_single_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_single_minus_f_all,balanced_accuracy,0.00010897131082582279
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_stable_minus_f_all,macro_f1,0.0012900681681842774
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_stable_minus_f_all,roc_auc,0.11392983976414633
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_stable_minus_f_all,pr_auc,0.05816130000245462
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_stable_minus_f_all,recall,0.006042954509431042
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_stable_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_stable_minus_f_all,balanced_accuracy,0.003021477254715521
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_stable_minus_f_single,macro_f1,0.001243459117041934
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_stable_minus_f_single,roc_auc,0.11244590459752152
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_stable_minus_f_single,pr_auc,0.053847400046378946
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_stable_minus_f_single,recall,0.005825011887779397
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_stable_minus_f_single,balanced_accuracy,0.0029125059438896983
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_single_minus_f_all,macro_f1,-0.0010006829053699207
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_single_minus_f_all,roc_auc,0.06274000933836632
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_single_minus_f_all,pr_auc,0.028469122869508645
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_single_minus_f_all,recall,-0.004726874943548509
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_single_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_single_minus_f_all,balanced_accuracy,-0.0023634374717742546
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_stable_minus_f_all,macro_f1,0.00023753708372720173
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_stable_minus_f_all,roc_auc,0.05950792842757635
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_stable_minus_f_all,pr_auc,0.04391110764465467
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_stable_minus_f_all,recall,0.0011240127254297239
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_stable_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_stable_minus_f_all,balanced_accuracy,0.0005620063627148619
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_stable_minus_f_single,macro_f1,0.0012382199890971224
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_stable_minus_f_single,roc_auc,-0.0032320809107899695
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_stable_minus_f_single,pr_auc,0.015441984775146023
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_stable_minus_f_single,recall,0.005850887668978233
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,phiusiil,r00,xgb,primary_domain_filtered,f_stable_minus_f_single,balanced_accuracy,0.0029254438344891165
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_single_minus_f_all,macro_f1,-0.0009904959871778196
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_single_minus_f_all,roc_auc,0.06390255693922398
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_single_minus_f_all,pr_auc,0.029261034126797758
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_single_minus_f_all,recall,-0.004665953399904943
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_single_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_single_minus_f_all,balanced_accuracy,-0.0023329766999524715
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_stable_minus_f_all,macro_f1,0.00023302368841993104
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_stable_minus_f_all,roc_auc,0.06012296002503709
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_stable_minus_f_all,pr_auc,0.04435845144992773
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_stable_minus_f_all,recall,0.001099619591060419
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_stable_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_stable_minus_f_all,balanced_accuracy,0.0005498097955302095
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_stable_minus_f_single,macro_f1,0.0012235196755977507
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_stable_minus_f_single,roc_auc,-0.003779596914186889
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_stable_minus_f_single,pr_auc,0.015097417323129969
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_stable_minus_f_single,recall,0.005765572990965362
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,phiusiil,r00,xgb,unfiltered,f_stable_minus_f_single,balanced_accuracy,0.002882786495482681
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_single_minus_f_all,macro_f1,-0.0052626778041864886
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_single_minus_f_all,roc_auc,-0.039102918971681666
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_single_minus_f_all,pr_auc,-0.028487940075674067
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_single_minus_f_all,recall,-0.024240025975080237
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_single_minus_f_all,fpr,4.4530206323223354e-05
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_single_minus_f_all,balanced_accuracy,-0.01214227809070173
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_stable_minus_f_all,macro_f1,-0.007711394122378867
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_stable_minus_f_all,roc_auc,-0.07701559442198685
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_stable_minus_f_all,pr_auc,-0.05692806773582432
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_stable_minus_f_all,recall,-0.035502658387109864
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_stable_minus_f_all,fpr,4.4530206323223354e-05
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_stable_minus_f_all,balanced_accuracy,-0.017773594296716544
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_stable_minus_f_single,macro_f1,-0.0024487163181923788
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_stable_minus_f_single,roc_auc,-0.03791267545030519
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_stable_minus_f_single,pr_auc,-0.02844012766015025
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_stable_minus_f_single,recall,-0.011262632412029627
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,phiusiil,r01,lr,primary_domain_filtered,f_stable_minus_f_single,balanced_accuracy,-0.005631316206014814
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_single_minus_f_all,macro_f1,-0.005322906673797589
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_single_minus_f_all,roc_auc,-0.038395601679258984
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_single_minus_f_all,pr_auc,-0.028080560128364573
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_single_minus_f_all,recall,-0.024330321762561447
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_single_minus_f_all,fpr,4.4494212044554615e-05
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_single_minus_f_all,balanced_accuracy,-0.012187407987303
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_stable_minus_f_all,macro_f1,-0.0076999028333806785
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_stable_minus_f_all,roc_auc,-0.07612776036709867
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_stable_minus_f_all,pr_auc,-0.05607616126005843
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_stable_minus_f_all,recall,-0.035177920431130105
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_stable_minus_f_all,fpr,4.4494212044554615e-05
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_stable_minus_f_all,balanced_accuracy,-0.01761120732158733
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_stable_minus_f_single,macro_f1,-0.002376996159583089
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_stable_minus_f_single,roc_auc,-0.03773215868783969
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_stable_minus_f_single,pr_auc,-0.02799560113169386
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_stable_minus_f_single,recall,-0.010847598668568659
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,phiusiil,r01,lr,unfiltered,f_stable_minus_f_single,balanced_accuracy,-0.005423799334284329
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_single_minus_f_all,macro_f1,-0.0010392249514262764
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_single_minus_f_all,roc_auc,0.07576339148948036
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_single_minus_f_all,pr_auc,0.03659207002605264
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_single_minus_f_all,recall,-0.004921060107959008
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_single_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_single_minus_f_all,balanced_accuracy,-0.002460530053979504
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_stable_minus_f_all,macro_f1,-0.002085816102099347
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_stable_minus_f_all,roc_auc,0.08466994787392867
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_stable_minus_f_all,pr_auc,0.04147490657636849
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_stable_minus_f_all,recall,-0.00986241324729098
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_stable_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_stable_minus_f_all,balanced_accuracy,-0.00493120662364549
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_stable_minus_f_single,macro_f1,-0.0010465911506730707
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_stable_minus_f_single,roc_auc,0.008906556384448316
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_stable_minus_f_single,pr_auc,0.00488283655031585
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_stable_minus_f_single,recall,-0.004941353139331972
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,phiusiil,r01,rf,primary_domain_filtered,f_stable_minus_f_single,balanced_accuracy,-0.002470676569665986
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_single_minus_f_all,macro_f1,-0.0010305169704643014
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_single_minus_f_all,roc_auc,0.07489225621324247
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_single_minus_f_all,pr_auc,0.03632621860788143
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_single_minus_f_all,recall,-0.004854176573149571
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_single_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_single_minus_f_all,balanced_accuracy,-0.0024270882865746746
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_stable_minus_f_all,macro_f1,-0.0020577196546747722
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_stable_minus_f_all,roc_auc,0.08425456985965718
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_stable_minus_f_all,pr_auc,0.04144433095395833
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_stable_minus_f_all,recall,-0.009678633697892014
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_stable_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_stable_minus_f_all,balanced_accuracy,-0.004839316848945896
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_stable_minus_f_single,macro_f1,-0.001027202684210471
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_stable_minus_f_single,roc_auc,0.00936231364641471
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_stable_minus_f_single,pr_auc,0.005118112346076897
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_stable_minus_f_single,recall,-0.004824457124742443
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,phiusiil,r01,rf,unfiltered,f_stable_minus_f_single,balanced_accuracy,-0.0024122285623712214
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_single_minus_f_all,macro_f1,-0.00045414170623231387
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_single_minus_f_all,roc_auc,-0.0004435977362604038
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_single_minus_f_all,pr_auc,0.0221024581887303
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_single_minus_f_all,recall,-0.0021612078412273084
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_single_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_single_minus_f_all,balanced_accuracy,-0.0010806039206136542
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_stable_minus_f_all,macro_f1,-0.00033895183836918363
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_stable_minus_f_all,roc_auc,0.07018668231124742
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_stable_minus_f_all,pr_auc,0.05631120236294601
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_stable_minus_f_all,recall,-0.0016132959941556058
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_stable_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_stable_minus_f_all,balanced_accuracy,-0.0008066479970778029
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_stable_minus_f_single,macro_f1,0.00011518986786313024
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_stable_minus_f_single,roc_auc,0.07063028004750782
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_stable_minus_f_single,pr_auc,0.03420874417421571
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_stable_minus_f_single,recall,0.0005479118470717026
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,phiusiil,r01,xgb,primary_domain_filtered,f_stable_minus_f_single,balanced_accuracy,0.0002739559235358513
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_single_minus_f_all,macro_f1,-0.0004457453197581618
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_single_minus_f_all,roc_auc,-0.0007040797807245092
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_single_minus_f_all,pr_auc,0.021457275626895866
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_single_minus_f_all,recall,-0.002110080836899675
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_single_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_single_minus_f_all,balanced_accuracy,-0.0010550404184498374
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_stable_minus_f_all,macro_f1,-0.0003326859270337268
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_stable_minus_f_all,roc_auc,0.06925340071264391
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_stable_minus_f_all,pr_auc,0.05552353778313884
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_stable_minus_f_all,recall,-0.0015751307655729185
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_stable_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_stable_minus_f_all,balanced_accuracy,-0.0007875653827864593
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_stable_minus_f_single,macro_f1,0.00011305939272443499
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_stable_minus_f_single,roc_auc,0.06995748049336842
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_stable_minus_f_single,pr_auc,0.03406626215624298
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_stable_minus_f_single,recall,0.0005349500713267563
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,phiusiil,r01,xgb,unfiltered,f_stable_minus_f_single,balanced_accuracy,0.00026747503566337816
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_single_minus_f_all,macro_f1,-0.005208317500372317
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_single_minus_f_all,roc_auc,-0.038154956141230545
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_single_minus_f_all,pr_auc,-0.027427543285449718
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_single_minus_f_all,recall,-0.023983929549743488
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_single_minus_f_all,fpr,4.453053681563457e-05
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_single_minus_f_all,balanced_accuracy,-0.01201423004327945
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_stable_minus_f_all,macro_f1,-0.006721848955775156
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_stable_minus_f_all,roc_auc,-0.07929832223041067
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_stable_minus_f_all,pr_auc,-0.05816637051044632
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_stable_minus_f_all,recall,-0.030953878619402353
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_stable_minus_f_all,fpr,4.453053681563457e-05
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_stable_minus_f_all,balanced_accuracy,-0.015499204578108883
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_stable_minus_f_single,macro_f1,-0.001513531455402839
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_stable_minus_f_single,roc_auc,-0.04114336608918012
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_stable_minus_f_single,pr_auc,-0.0307388272249966
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_stable_minus_f_single,recall,-0.006969949069658865
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,phiusiil,r02,lr,primary_domain_filtered,f_stable_minus_f_single,balanced_accuracy,-0.0034849745348294325
iscx_url2016_binary,phiusiil,r02,lr,unfiltered,f_single_minus_f_all,macro_f1,-0.0052978225495638465
iscx_url2016_binary,phiusiil,r02,lr,unfiltered,f_single_minus_f_all,roc_auc,-0.037481198693243456
iscx_url2016_binary,phiusiil,r02,lr,unfiltered,f_single_minus_f_all,pr_auc,-0.027057744490590674
iscx_url2016_binary,phiusiil,r02,lr,unfiltered,f_single_minus_f_all,recall,-0.024211443968933155
iscx_url2016_binary,phiusiil,r02,lr,unfiltered,f_single_minus_f_all,fpr,4.4494212044554615e-05
iscx_url2016_binary,phiusiil,r02,lr,unfiltered,f_single_minus_f_all,balanced_accuracy,-0.012127969090488855
