source_dataset,target_dataset,repetition,model,fpr_budget,threshold_selected_on_source_validation,evaluation_scope,alerts_per_10000_benign,n_samples,n_benign,n_phishing,threshold,accuracy,balanced_accuracy,precision,recall,macro_f1,roc_auc,pr_auc,fpr,tn,fp,fn,tp
phiusiil,iscx_url2016_binary,r00,xgb,0.001,0.9502694606781006,source_validation,9.936900680677697,35674,20127,15547,0.9502694606781006,0.9911420081852329,0.9899836335148823,0.9986903280728178,0.9809609570978324,0.990974779191611,0.9993649654468358,0.9994281774418854,0.0009936900680677697,20107,20,296,15251
phiusiil,iscx_url2016_binary,r00,xgb,0.001,0.9502694606781006,source_s3_test,4.9684503403388485,35674,20127,15547,0.9502694606781006,0.9931602848012558,0.992226009849356,0.9993473862820597,0.9849488647327459,0.9930339600824248,0.9993169091838959,0.9993973701145334,0.0004968450340338849,20117,10,234,15313
phiusiil,iscx_url2016_binary,r00,xgb,0.001,0.9502694606781006,external_primary,10000.0,41108,32552,8556,0.9502694606781006,0.2078670818332198,0.4993571762505844,0.207922719419909,0.9987143525011688,0.1720943346826979,0.07229698171421428,0.11602330281786047,1.0,0,32552,11,8545
phiusiil,iscx_url2016_binary,r00,xgb,0.01,0.6199306845664978,source_validation,99.86585184081085,35674,20127,15547,0.6199306845664978,0.9916185457195716,0.9918549739545601,0.9871565495207668,0.9936965330932013,0.9914844285529438,0.9993649654468358,0.9994281774418854,0.009986585184081085,19926,201,98,15449
phiusiil,iscx_url2016_binary,r00,xgb,0.01,0.6199306845664978,source_s3_test,107.81537238535302,35674,20127,15547,0.6199306845664978,0.991198071424567,0.9914896584727759,0.9861492308674283,0.993760854184087,0.9910583105256965,0.9993169091838959,0.9993973701145334,0.010781537238535302,19910,217,97,15450
phiusiil,iscx_url2016_binary,r00,xgb,0.01,0.6199306845664978,external_primary,10000.0,41108,32552,8556,0.6199306845664978,0.20811034348545296,0.4999415614773259,0.20811540613520813,0.9998831229546518,0.1722610394055937,0.07229698171421428,0.11602330281786047,1.0,0,32552,1,8555
phiusiil,iscx_url2016_binary,r01,lr,0.001,0.9998907453828078,source_validation,9.936900680677697,35675,20127,15548,0.9998907453828078,0.9618500350385424,0.9563786373431207,0.9985942222534617,0.9137509647543093,0.960777246466155,0.9945907259164148,0.9963223125423459,0.0009936900680677697,20107,20,1341,14207
phiusiil,iscx_url2016_binary,r01,lr,0.001,0.9998907453828078,source_s3_test,6.955830476474388,35674,20127,15547,0.9998907453828078,0.9360318439199417,0.9267120914117909,0.9989468141126909,0.8541197658712292,0.9335948869932879,0.9935194271889037,0.9956755231209495,0.0006955830476474388,20113,14,2268,13279
phiusiil,iscx_url2016_binary,r01,lr,0.001,0.9998907453828078,external_primary,9221.855317067204,41159,32706,8453,0.9998907453828078,0.26609004106027845,0.5361863066652722,0.2179786351379382,0.9945581450372649,0.2508948994022467,0.5530012122598987,0.22442565608499268,0.9221855317067205,2545,30161,46,8407
phiusiil,iscx_url2016_binary,r01,lr,0.01,0.9096445031809712,source_validation,99.86585184081085,35675,20127,15548,0.9096445031809712,0.9853398738612473,0.9846516778221606,0.9869708951837687,0.9792899408284024,0.9850809276431358,0.9945907259164148,0.9963223125423459,0.009986585184081085,19926,201,322,15226
phiusiil,iscx_url2016_binary,r01,lr,0.01,0.9096445031809712,source_s3_test,101.8532319769464,35674,20127,15547,0.9096445031809712,0.9868812019958513,0.986449114949683,0.986764800826393,0.9830835530970605,0.9866556454448445,0.9935194271889037,0.9956755231209495,0.01018532319769464,19922,205,263,15284
phiusiil,iscx_url2016_binary,r01,lr,0.01,0.9096445031809712,external_primary,9334.678652235065,41159,32706,8453,0.9096445031809712,0.25763502514638353,0.531787302452721,0.2163355408388521,0.9970424701289483,0.24010172083624398,0.5530012122598987,0.22442565608499268,0.9334678652235064,2176,30530,25,8428
phiusiil,iscx_url2016_binary,r01,rf,0.001,0.9755366322129241,source_validation,9.936900680677697,35675,20127,15548,0.9755366322129241,0.9545059565522074,0.9479531163757937,0.9985678481919084,0.8968999228196552,0.953106936197854,0.9990767303976835,0.9987631919127373,0.0009936900680677697,20107,20,1603,13945
phiusiil,iscx_url2016_binary,r01,rf,0.001,0.9755366322129241,source_s3_test,26.332786803795898,35674,20127,15547,0.9755366322129241,0.9392274485619779,0.930663807048181,0.9960697070819429,0.8639608927767415,0.9370451023517348,0.9989351674882123,0.9986521686210216,0.0026332786803795897,20074,53,2115,13432
phiusiil,iscx_url2016_binary,r01,rf,0.001,0.9755366322129241,external_primary,9999.694245704153,41159,32706,8453,0.9755366322129241,0.20384363079763843,0.4962296494798462,0.20414172385263055,0.9924287235301077,0.16934449948580768,0.45868722141426843,0.19201074505095342,0.9999694245704153,1,32705,64,8389
phiusiil,iscx_url2016_binary,r01,rf,0.01,0.8260817269624671,source_validation,99.86585184081085,35675,20127,15548,0.8260817269624671,0.9903573931324456,0.9904080452006016,0.987120338331411,0.9908026755852842,0.9902000068701049,0.9990767303976835,0.9987631919127373,0.009986585184081085,19926,201,143,15405
phiusiil,iscx_url2016_binary,r01,rf,0.01,0.8260817269624671,source_s3_test,95.39424653450588,35674,20127,15547,0.8260817269624671,0.9897404272018837,0.9896343527662187,0.9876646321876004,0.988808130185888,0.9895698593776278,0.9989351674882123,0.9986521686210216,0.009539424653450588,19935,192,174,15373
phiusiil,iscx_url2016_binary,r01,rf,0.01,0.8260817269624671,external_primary,10000.0,41159,32706,8453,0.8260817269624671,0.20510702398017444,0.4993493434283686,0.205161854768154,0.9986986868567372,0.17019818148827645,0.45868722141426843,0.19201074505095342,1.0,0,32706,11,8442
phiusiil,iscx_url2016_binary,r01,xgb,0.001,0.9268352389335632,source_validation,9.936900680677697,35675,20127,15548,0.9268352389335632,0.9936930623686054,0.9929106671861874,0.9986981709301569,0.9868150244404424,0.9935785510068535,0.9994273180329348,0.9994651244079461,0.0009936900680677697,20107,20,205,15343
phiusiil,iscx_url2016_binary,r01,xgb,0.001,0.9268352389335632,source_s3_test,11.924280816813235,35674,20127,15547,0.9268352389335632,0.9920950832539104,0.9911063652349039,0.9984327042382289,0.983405158551489,0.9919484652758063,0.9994854568390061,0.9994910521760969,0.0011924280816813235,20103,24,258,15289
phiusiil,iscx_url2016_binary,r01,xgb,0.001,0.9268352389335632,external_primary,10000.0,41159,32706,8453,0.9268352389335632,0.20510702398017444,0.4993493434283686,0.205161854768154,0.9986986868567372,0.17019818148827645,0.07829544443316629,0.11495433873101357,1.0,0,32706,11,8442
phiusiil,iscx_url2016_binary,r01,xgb,0.01,0.6127820014953613,source_validation,99.86585184081085,35675,20127,15548,0.6127820014953613,0.9919551506657323,0.9922410783881498,0.9871672093468684,0.9944687419603807,0.9918271854142202,0.9994273180329348,0.9994651244079461,0.009986585184081085,19926,201,86,15462
phiusiil,iscx_url2016_binary,r01,xgb,0.01,0.6127820014953613,source_s3_test,87.94157102399761,35674,20127,15547,0.6127820014953613,0.9920670516342435,0.9921939036318579,0.9886669227814061,0.9931819643661156,0.9919382606062903,0.9994854568390061,0.9994910521760969,0.008794157102399761,19950,177,106,15441
phiusiil,iscx_url2016_binary,r01,xgb,0.01,0.6127820014953613,external_primary,10000.0,41159,32706,8453,0.6127820014953613,0.2053499842075852,0.499940849402579,0.20535497351669177,0.999881698805158,0.17036544314768903,0.07829544443316629,0.11495433873101357,1.0,0,32706,1,8452
phiusiil,iscx_url2016_binary,r02,lr,0.001,0.9996656865134983,source_validation,9.936900680677697,35674,20127,15547,0.9996656865134983,0.971379716320009,0.9673104489776725,0.9986269394480296,0.9356145880234129,0.9706669294334294,0.995111010670459,0.9967779363104032,0.0009936900680677697,20107,20,1001,14546
phiusiil,iscx_url2016_binary,r02,lr,0.001,0.9996656865134983,source_s3_test,12.42112585084712,35674,20127,15547,0.9996656865134983,0.9475248079834053,0.9399784162745124,0.9981785063752276,0.8811989451341095,0.94577858969185,0.9932000699526617,0.9954218390476557,0.001242112585084712,20102,25,1847,13700
phiusiil,iscx_url2016_binary,r02,lr,0.001,0.9996656865134983,external_primary,9236.447942405663,41236,32781,8455,0.9996656865134983,0.2646958967892133,0.5356347288406867,0.21742052209873353,0.9949142519219397,0.24928057584733931,0.5532995135666472,0.2241842300761869,0.9236447942405662,2503,30278,43,8412
phiusiil,iscx_url2016_binary,r02,lr,0.01,0.8741734981528835,source_validation,99.86585184081085,35674,20127,15547,0.8741734981528835,0.9877782138251948,0.9874489792288895,0.9870431251208663,0.9848845436418602,0.9875702859565667,0.995111010670459,0.9967779363104032,0.009986585184081085,19926,201,235,15312
phiusiil,iscx_url2016_binary,r02,lr,0.01,0.8741734981528835,source_s3_test,131.66393401897946,35674,20127,15547,0.8741734981528835,0.9859000953075069,0.9857625934836525,0.9829844612816232,0.984691580369203,0.98566662035882,0.9932000699526617,0.9954218390476557,0.013166393401897947,19862,265,238,15309
phiusiil,iscx_url2016_binary,r02,lr,0.01,0.8741734981528835,external_primary,9339.556450382843,41236,32781,8455,0.8741734981528835,0.25700843922785915,0.5317211721585633,0.21595943558093678,0.997397989355411,0.23943564260725428,0.5532995135666472,0.2241842300761869,0.9339556450382843,2165,30616,22,8433
phiusiil,iscx_url2016_binary,r02,rf,0.001,0.9678822844471395,source_validation,9.440055646643811,35674,20127,15547,0.9678822844471395,0.9726691708246903,0.9687825157743026,0.9986995208761122,0.9385090371132695,0.9719994893209317,0.9994394298845924,0.9993647367832175,0.0009440055646643812,20108,19,956,14591
phiusiil,iscx_url2016_binary,r02,rf,0.001,0.9678822844471395,source_s3_test,33.78546231430417,35674,20127,15547,0.9678822844471395,0.9709872736446712,0.9672114794410482,0.9953577280174768,0.9378015051135268,0.9702863759871336,0.9989814389183774,0.998774799916682,0.003378546231430417,20059,68,967,14580
phiusiil,iscx_url2016_binary,r02,rf,0.001,0.9678822844471395,external_primary,9999.69494524267,41236,32781,8455,0.9678822844471395,0.20404500921524882,0.49753151530439516,0.2042337290316316,0.9950325251330574,0.16948341427230446,0.45507360451745144,0.19067084771923457,0.9999694945242671,1,32780,42,8413
phiusiil,iscx_url2016_binary,r02,rf,0.01,0.7987767911510677,source_validation,99.86585184081085,35674,20127,15547,0.7987767911510677,0.9918147670572406,0.99208009777266,0.9871622916267484,0.9941467807294012,0.9916842055435453,0.9994394298845924,0.9993647367832175,0.009986585184081085,19926,201,91,15456
phiusiil,iscx_url2016_binary,r02,rf,0.01,0.7987767911510677,source_s3_test,110.29959755552242,35674,20127,15547,0.7987767911510677,0.9895442058642149,0.9896287777603534,0.9857856319631195,0.9902875152762591,0.9893744565588208,0.9989814389183774,0.998774799916682,0.011029959755552243,19905,222,151,15396
phiusiil,iscx_url2016_binary,r02,rf,0.01,0.7987767911510677,external_primary,10000.0,41236,32781,8455,0.7987767911510677,0.2047482782035115,0.4992903607332939,0.20480787890549196,0.9985807214665878,0.16995108597193986,0.45507360451745144,0.19067084771923457,1.0,0,32781,12,8443
phiusiil,iscx_url2016_binary,r02,xgb,0.001,0.9197028875350952,source_validation,9.936900680677697,35674,20127,15547,0.9197028875350952,0.9947580871222739,0.99413234387701,0.9987012987012988,0.9892583778220878,0.9946644063777962,0.999471219721706,0.99951341492977,0.0009936900680677697,20107,20,167,15380
phiusiil,iscx_url2016_binary,r02,xgb,0.001,0.9197028875350952,source_s3_test,20.37064639538928,35674,20127,15547,0.9197028875350952,0.9924034310702472,0.9915845422283749,0.997330381560099,0.9852061490962887,0.9922652017996306,0.9995049941266858,0.9995166076981417,0.0020370646395389278,20086,41,230,15317
phiusiil,iscx_url2016_binary,r02,xgb,0.001,0.9197028875350952,external_primary,10000.0,41236,32781,8455,0.9197028875350952,0.20477252885827918,0.49934949733885275,0.2048271679805943,0.9986989946777055,0.16996779388083735,0.09264857001027428,0.11560758373218102,1.0,0,32781,11,8444
phiusiil,iscx_url2016_binary,r02,xgb,0.01,0.6304172277450562,source_validation,99.86585184081085,35674,20127,15547,0.6304172277450562,0.9921791781129113,0.9924981848634171,0.9871729419272495,0.9949829549109153,0.9920551653117569,0.999471219721706,0.99951341492977,0.009986585184081085,19926,201,78,15469
phiusiil,iscx_url2016_binary,r02,xgb,0.01,0.6304172277450562,source_s3_test,104.83430218114971,35674,20127,15547,0.6304172277450562,0.9915624824802377,0.991863835801086,0.9865330610160837,0.9942111018202868,0.9914285688855978,0.9995049941266858,0.9995166076981417,0.01048343021811497,19916,211,90,15457
phiusiil,iscx_url2016_binary,r02,xgb,0.01,0.6304172277450562,external_primary,10000.0,41236,32781,8455,0.6304172277450562,0.20501503540595595,0.49994086339444116,0.20502000727537287,0.9998817267888823,0.1701348359830952,0.09264857001027428,0.11560758373218102,1.0,0,32781,1,8454
phiusiil,iscx_url2016_binary,r03,lr,0.001,0.9998120067642827,source_validation,9.936900680677697,35675,20127,15548,0.9998120067642827,0.9432655921513665,0.935057567109007,0.9985255086994986,0.8711088242860818,0.9412782348877371,0.9930734695757321,0.995466234296424,0.0009936900680677697,20107,20,2004,13544
phiusiil,iscx_url2016_binary,r03,lr,0.001,0.9998120067642827,source_s3_test,7.949520544542157,35674,20127,15547,0.9998120067642827,0.9679598587206368,0.9633575892586801,0.9988916597395401,0.9275101305718145,0.9671231708363335,0.9949858774347696,0.9966681733677825,0.0007949520544542157,20111,16,1127,14420
phiusiil,iscx_url2016_binary,r03,lr,0.001,0.9998120067642827,external_primary,9284.79892597791,41332,32774,8558,0.9998120067642827,0.262871382947837,0.5335983336730606,0.21876203435085106,0.9956765599439121,0.24603163902391426,0.5493407277837942,0.22477192993788414,0.928479892597791,2344,30430,37,8521
phiusiil,iscx_url2016_binary,r03,lr,0.01,0.9291283825765254,source_validation,99.86585184081085,35675,20127,15548,0.9291283825765254,0.987666433076384,0.9873208314110467,0.9870406189555125,0.9846282480061744,0.9874563378751177,0.9930734695757321,0.995466234296424,0.009986585184081085,19926,201,239,15309
phiusiil,iscx_url2016_binary,r03,lr,0.01,0.9291283825765254,source_s3_test,67.57092462860834,35674,20127,15547,0.9291283825765254,0.9864326960811796,0.9854295839544576,0.9911313987610042,0.977616260371776,0.9861833908010983,0.9949858774347696,0.9966681733677825,0.006757092462860834,19991,136,348,15199
phiusiil,iscx_url2016_binary,r03,lr,0.01,0.9291283825765254,external_primary,9388.539696100568,41332,32774,8558,0.9291283825765254,0.25498403174295947,0.529229243285647,0.21714794555400077,0.9973124561813508,0.2359060113327404,0.5493407277837942,0.22477192993788414,0.9388539696100567,2004,30770,23,8535
phiusiil,iscx_url2016_binary,r03,rf,0.001,0.983901478334389,source_validation,9.936900680677697,35675,20127,15548,0.983901478334389,0.9540574632095304,0.9474385807442012,0.9985662054627572,0.8958708515564703,0.9526370773565395,0.9991537816419633,0.9990055135169843,0.0009936900680677697,20107,20,1619,13929
phiusiil,iscx_url2016_binary,r03,rf,0.001,0.983901478334389,source_s3_test,6.458985442440503,35674,20127,15547,0.983901478334389,0.9489544205864214,0.9415307845672038,0.9990546829552065,0.8837074676786518,0.9472705448219878,0.9994068906414167,0.9992726994147052,0.0006458985442440503,20114,13,1808,13739
phiusiil,iscx_url2016_binary,r03,rf,0.001,0.983901478334389,external_primary,9999.389760175749,41332,32774,8558,0.983901478334389,0.20410335817284428,0.49278582865398424,0.20467893025287578,0.9855106333255433,0.16954073561557054,0.4429696675011555,0.18893738592169063,0.9999389760175749,2,32772,124,8434
phiusiil,iscx_url2016_binary,r03,rf,0.01,0.8348334279757017,source_validation,99.86585184081085,35675,20127,15548,0.8348334279757017,0.9892641906096706,0.9891538645985949,0.9870880709192522,0.9882943143812709,0.9890858744647013,0.9991537816419633,0.9990055135169843,0.009986585184081085,19926,201,182,15366
phiusiil,iscx_url2016_binary,r03,rf,0.01,0.8348334279757017,source_s3_test,72.0425299349133,35674,20127,15547,0.8348334279757017,0.9926557156472501,0.9926350896864408,0.9906902086677367,0.9924744323663729,0.9925341587398335,0.9994068906414167,0.9992726994147052,0.00720425299349133,19982,145,117,15430
phiusiil,iscx_url2016_binary,r03,rf,0.01,0.8348334279757017,external_primary,10000.0,41332,32774,8558,0.8348334279757017,0.20676473434626924,0.49929890161252627,0.2068247821878025,0.9985978032250525,0.17133806487830305,0.4429696675011555,0.18893738592169063,1.0,0,32774,12,8546
phiusiil,iscx_url2016_binary,r03,xgb,0.001,0.936134934425354,source_validation,9.440055646643811,35675,20127,15548,0.936134934425354,0.9919551506657323,0.9909095253884936,0.9987580887639715,0.9827630563416516,0.9918050604740151,0.9995417780525617,0.9995632180438851,0.0009440055646643812,20108,19,268,15280
phiusiil,iscx_url2016_binary,r03,xgb,0.001,0.936134934425354,source_s3_test,7.452675510508272,35674,20127,15547,0.936134934425354,0.9934966642372596,0.992648527863376,0.9990224828934506,0.9860423232778028,0.9933776698837959,0.9995437970623211,0.9995722276498012,0.0007452675510508272,20112,15,217,15330
phiusiil,iscx_url2016_binary,r03,xgb,0.001,0.936134934425354,external_primary,10000.0,41332,32774,8558,0.936134934425354,0.20678892867511856,0.4993573264781491,0.2068439776384889,0.9987146529562982,0.1713546783215381,0.06411879608111086,0.11481852599471082,1.0,0,32774,11,8547
phiusiil,iscx_url2016_binary,r03,xgb,0.01,0.5751360058784485,source_validation,99.86585184081085,35675,20127,15548,0.5751360058784485,0.9918710581639804,0.9921446029572263,0.9871647509578544,0.9942757910985336,0.9917415786748633,0.9995417780525617,0.9995632180438851,0.009986585184081085,19926,201,89,15459
phiusiil,iscx_url2016_binary,r03,xgb,0.01,0.5751360058784485,source_s3_test,108.80906245342078,35674,20127,15547,0.5751360058784485,0.9920109883949094,0.9924369508781008,0.9860509554140128,0.9957548080015437,0.9918860348545133,0.9995437970623211,0.9995722276498012,0.010880906245342077,19908,219,66,15481
phiusiil,iscx_url2016_binary,r03,xgb,0.01,0.5751360058784485,external_primary,10000.0,41332,32774,8558,0.5751360058784485,0.20703087196361172,0.4999415751343772,0.20703588105780166,0.9998831502687544,0.17152077612299305,0.06411879608111086,0.11481852599471082,1.0,0,32774,1,8557
phiusiil,iscx_url2016_binary,r04,lr,0.001,0.9993022019747216,source_validation,9.936900680677697,35674,20127,15547,0.9993022019747216,0.9735942142737007,0.9698511320676577,0.99863434619324,0.9406959542033833,0.9729555801563743,0.9948440175836036,0.9966540262084871,0.0009936900680677697,20107,20,922,14625
phiusiil,iscx_url2016_binary,r04,lr,0.001,0.9993022019747216,source_s3_test,15.40219605505043,35675,20127,15548,0.9993022019747216,0.9589628591450595,0.9531467926927453,0.9978085677930157,0.9078338049909956,0.9577760567040583,0.9936740119970628,0.9958062373070278,0.001540219605505043,20096,31,1433,14115
phiusiil,iscx_url2016_binary,r04,lr,0.001,0.9993022019747216,external_primary,9409.986257443885,41209,32745,8464,0.9993022019747216,0.2514499259870417,0.5274921805115487,0.21481538108707285,0.9959829867674859,0.23236321757757097,0.5496971463629854,0.22318502251976655,0.9409986257443884,1932,30813,34,8430
phiusiil,iscx_url2016_binary,r04,lr,0.01,0.8652622065257374,source_validation,99.86585184081085,35674,20127,15547,0.8652622065257374,0.9886471940348713,0.9884459561376179,0.9870689655172413,0.9868784974593169,0.9884566800630097,0.9948440175836036,0.9966540262084871,0.009986585184081085,19926,201,204,15343
phiusiil,iscx_url2016_binary,r04,lr,0.01,0.8652622065257374,source_s3_test,108.3122174193869,35675,20127,15548,0.8652622065257374,0.9875262789067975,0.9872844148558122,0.9859707831906815,0.9854000514535631,0.987316501890826,0.9936740119970628,0.9958062373070278,0.01083122174193869,19909,218,227,15321
phiusiil,iscx_url2016_binary,r04,lr,0.01,0.8652622065257374,external_primary,9574.286150557336,41209,32745,8464,0.8652622065257374,0.2387585236234803,0.5201632917159895,0.21220725701075485,0.9977551984877127,0.21579999134710212,0.5496971463629854,0.22318502251976655,0.9574286150557337,1394,31351,19,8445
phiusiil,iscx_url2016_binary,r04,rf,0.001,0.975625,source_validation,9.936900680677697,35674,20127,15547,0.975625,0.9521500252284577,0.9452483148038769,0.9985590778097982,0.8914903196758217,0.9506362998163178,0.9992197660249453,0.9990712575266276,0.0009936900680677697,20107,20,1687,13860
phiusiil,iscx_url2016_binary,r04,rf,0.001,0.975625,source_s3_test,5.962140408406618,35675,20127,15548,0.975625,0.9643167484232656,0.9591500535146967,0.999160780474159,0.9188963210702341,0.9633383329053138,0.9992065386723813,0.9990707051483444,0.0005962140408406618,20115,12,1261,14287
phiusiil,iscx_url2016_binary,r04,rf,0.001,0.975625,external_primary,9999.694609864102,41209,32745,8464,0.975625,0.2037661675847509,0.49599825627428074,0.20408361691784152,0.9919659735349716,0.1692910183018987,0.46478077613835034,0.19411761056452803,0.9999694609864102,1,32744,68,8396
phiusiil,iscx_url2016_binary,r04,rf,0.01,0.7803998283814856,source_validation,98.87216177274308,35674,20127,15547,0.7803998283814856,0.9916185457195716,0.9918403373670778,0.9872810942093826,0.9935678909114298,0.9914841849468932,0.9992197660249453,0.9990712575266276,0.009887216177274309,19928,199,100,15447
phiusiil,iscx_url2016_binary,r04,rf,0.01,0.7803998283814856,source_s3_test,124.7081035425051,35675,20127,15548,0.7803998283814856,0.9889558514365803,0.9891659326155169,0.9839678078691876,0.9908026755852842,0.9887796177077626,0.9992065386723813,0.9990707051483444,0.01247081035425051,19876,251,143,15405
phiusiil,iscx_url2016_binary,r04,rf,0.01,0.7803998283814856,external_primary,10000.0,41209,32745,8464,0.7803998283814856,0.2051250940328569,0.4993501890359168,0.2051798631001505,0.9987003780718336,0.17021062381700294,0.46478077613835034,0.19411761056452803,1.0,0,32745,11,8453
phiusiil,iscx_url2016_binary,r04,xgb,0.001,0.9236022233963013,source_validation,9.936900680677697,35674,20127,15547,0.9236022233963013,0.9947020238829399,0.9940680227861243,0.9987011300168853,0.9891297356403165,0.9946072596342695,0.9994583791521638,0.9995257254082508,0.0009936900680677697,20107,20,169,15378
phiusiil,iscx_url2016_binary,r04,xgb,0.001,0.9236022233963013,source_s3_test,19.37695632732151,35675,20127,15548,0.9236022233963013,0.9921513665031535,0.991280959232772,0.997458621139059,0.9844996140982764,0.9920078260033456,0.9995284781488333,0.9995574387710592,0.0019376956327321509,20088,39,241,15307
phiusiil,iscx_url2016_binary,r04,xgb,0.001,0.9236022233963013,external_primary,10000.0,41209,32745,8464,0.9236022233963013,0.2051250940328569,0.4993501890359168,0.2051798631001505,0.9987003780718336,0.17021062381700294,0.07640572912472242,0.11492642232896949,1.0,0,32745,11,8453
phiusiil,iscx_url2016_binary,r04,xgb,0.01,0.5830830335617065,source_validation,96.88478163660754,35674,20127,15547,0.5830830335617065,0.9925996524079161,0.992936683282613,0.9875582211446436,0.9955618447288866,0.9924824673792103,0.9994583791521638,0.9995257254082508,0.009688478163660754,19932,195,69,15478
phiusiil,iscx_url2016_binary,r04,xgb,0.01,0.5830830335617065,source_s3_test,105.82799224921746,35675,20127,15548,0.5830830335617065,0.9916187806587246,0.9919429713677295,0.9864114832535885,0.9944687419603807,0.9914861920550828,0.9995284781488333,0.9995574387710592,0.010582799224921747,19914,213,86,15462
phiusiil,iscx_url2016_binary,r04,xgb,0.01,0.5830830335617065,external_primary,10000.0,41209,32745,8464,0.5830830335617065,0.20536775947001867,0.49994092627599246,0.20537274315666862,0.9998818525519849,0.17037767756482525,0.07640572912472242,0.11492642232896949,1.0,0,32745,1,8463
phiusiil,iscx_url2016_binary,r05,lr,0.001,0.9997480304550767,source_validation,9.936900680677697,35674,20127,15547,0.9997480304550767,0.9686886808319785,0.9642230366151588,0.9986178299930891,0.9294397632983855,0.9678810172062322,0.9950182696729183,0.996739868327655,0.0009936900680677697,20107,20,1097,14450
phiusiil,iscx_url2016_binary,r05,lr,0.001,0.9997480304550767,source_s3_test,7.949520544542157,35674,20127,15547,0.9997480304550767,0.9453663732690475,0.9374361896317425,0.9988261188554659,0.8756673313179392,0.9434921072571036,0.9930981938709904,0.995469854426646,0.0007949520544542157,20111,16,1933,13614
